No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-10_15-51-56
63, -3345.05, -3842.62, -2247.54, -1940.76, 0.000, 0.000, 0.000, 15:51:59.447
64, -3431.03, -3923.60, -2255.39, -1998.07, 0.000, 0.000, 0.000, 15:51:59.447
65, -3844.00, -4333.14, -2735.84, -2360.88, 0.000, 0.000, 0.000, 15:51:59.459
66, -3696.46, -4199.21, -2578.62, -2264.36, 0.000, 0.000, 0.000, 15:51:59.460
67, -3345.20, -3850.81, -2181.92, -1956.10, 0.000, 0.000, 0.000, 15:51:59.476
68, -3432.62, -3937.66, -2279.60, -2013.28, 0.000, 0.000, 0.000, 15:51:59.476
69, -3820.74, -4318.77, -2759.83, -2369.15, 0.000, 0.000, 0.000, 15:51:59.490
70, -3674.23, -4179.16, -2609.00, -2254.55, 0.000, 0.000, 0.000, 15:51:59.491
71, -3314.59, -3826.53, -2253.31, -1948.60, 0.000, 0.000, 0.000, 15:51:59.492
72, -3412.68, -3912.44, -2289.21, -2010.15, 0.000, 0.000, 0.000, 15:51:59.492
73, -3802.29, -4306.01, -2685.53, -2361.49, 0.000, 0.000, 0.000, 15:51:59.507
74, -3678.96, -4187.33, -2636.74, -2268.43, 0.000, 0.000, 0.000, 15:51:59.507
75, -3332.80, -3846.22, -2247.12, -1955.86, 0.000, 0.000, 0.000, 15:51:59.519
76, -3428.22, -3938.65, -2322.77, -2020.88, 0.000, 0.000, 0.000, 15:51:59.519
77, -3835.22, -4328.42, -2727.33, -2373.24, 0.000, 0.000, 0.000, 15:51:59.521
78, -3681.39, -4187.33, -2628.01, -2260.01, 0.000, 0.000, 0.000, 15:51:59.521
79, -3336.01, -3843.14, -2242.80, -1950.94, 0.000, 0.000, 0.000, 15:51:59.536
80, -3443.05, -3943.36, -2341.41, -2019.88, 0.000, 0.000, 0.000, 15:51:59.536
81, -3826.12, -4330.42, -2722.81, -2361.18, 0.000, 0.000, 0.000, 15:51:59.549
82, -3700.99, -4210.18, -2600.88, -2265.80, 0.000, 0.000, 0.000, 15:51:59.549
83, -3360.97, -3867.15, -2246.91, -1964.33, 0.000, 0.000, 0.000, 15:51:59.550
84, -3444.43, -3945.29, -2321.09, -2007.57, 0.000, 0.000, 0.000, 15:51:59.550
85, -3827.36, -4330.59, -2748.57, -2354.35, 0.000, 0.000, 0.000, 15:51:59.565
86, -3699.94, -4204.18, -2584.27, -2258.36, 0.000, 0.000, 0.000, 15:51:59.565
87, -3341.73, -3854.70, -2230.75, -1941.82, 0.000, 0.000, 0.000, 15:51:59.581
88, -3455.08, -3957.24, -2315.55, -2012.35, 0.000, 0.000, 0.000, 15:51:59.582
89, -3840.51, -4345.34, -2701.46, -2365.29, 0.000, 0.000, 0.000, 15:51:59.582
90, -3698.09, -4201.98, -2572.58, -2245.21, 0.000, 0.000, 0.000, 15:51:59.583
91, -3355.73, -3858.64, -2215.40, -1941.30, 0.000, 0.000, 0.000, 15:51:59.595
92, -3461.72, -3963.14, -2297.81, -2021.29, 0.000, 0.000, 0.000, 15:51:59.596
93, -3857.44, -4353.57, -2745.96, -2377.44, 0.000, 0.000, 0.000, 15:51:59.611
94, -3710.48, -4209.68, -2561.06, -2264.11, 0.000, 0.000, 0.000, 15:51:59.612
95, -3341.81, -3844.28, -2225.63, -1936.08, 0.000, 0.000, 0.000, 15:51:59.612
96, -3452.96, -3950.33, -2291.89, -2007.61, 0.000, 0.000, 0.000, 15:51:59.612
97, -3852.80, -4353.33, -2748.84, -2370.23, 0.000, 0.000, 0.000, 15:51:59.626
98, -3700.14, -4200.06, -2584.84, -2252.81, 0.000, 0.000, 0.000, 15:51:59.627
99, -3348.68, -3847.86, -2175.15, -1934.94, 0.000, 0.000, 0.000, 15:51:59.641
100, -3453.16, -3954.29, -2330.28, -2017.63, 0.000, 0.000, 0.000, 15:51:59.642
101, -3845.96, -4342.68, -2742.52, -2364.70, 0.000, 0.000, 0.000, 15:51:59.643
102, -3705.06, -4202.53, -2617.97, -2264.46, 0.000, 0.000, 0.000, 15:51:59.643
103, -3362.36, -3864.64, -2246.38, -1962.78, 0.000, 0.000, 0.000, 15:51:59.657
104, -3457.96, -3959.62, -2314.59, -2018.34, 0.000, 0.000, 0.000, 15:51:59.659
105, -3845.28, -4339.58, -2763.67, -2374.57, 0.000, 0.000, 0.000, 15:51:59.669
106, -3692.86, -4193.45, -2572.65, -2258.71, 0.000, 0.000, 0.000, 15:51:59.669
107, -3321.73, -3825.17, -2182.40, -1927.08, 0.000, 0.000, 0.000, 15:51:59.669
108, -3437.26, -3936.36, -2313.80, -2003.29, 0.000, 0.000, 0.000, 15:51:59.669
109, -3847.28, -4337.67, -2779.85, -2361.92, 0.000, 0.000, 0.000, 15:51:59.692
110, -3702.84, -4204.57, -2610.38, -2258.60, 0.000, 0.000, 0.000, 15:51:59.694
111, -3341.91, -3842.73, -2186.70, -1934.25, 0.000, 0.000, 0.000, 15:51:59.699
112, -3454.86, -3958.21, -2324.22, -2020.90, 0.000, 0.000, 0.000, 15:51:59.699
113, -3841.98, -4348.62, -2734.94, -2369.59, 0.000, 0.000, 0.000, 15:51:59.700
114, -3699.24, -4208.72, -2594.08, -2263.05, 0.000, 0.000, 0.000, 15:51:59.700
115, -3355.14, -3864.54, -2243.73, -1960.58, 0.000, 0.000, 0.000, 15:51:59.714
116, -3461.68, -3965.21, -2337.90, -2036.72, 0.000, 0.000, 0.000, 15:51:59.714
117, -3848.04, -4339.07, -2758.54, -2371.75, 0.000, 0.000, 0.000, 15:51:59.732
118, -3701.91, -4208.95, -2616.62, -2268.07, 0.000, 0.000, 0.000, 15:51:59.732
119, -3346.83, -3851.84, -2251.59, -1957.36, 0.000, 0.000, 0.000, 15:51:59.733
120, -3451.25, -3962.01, -2290.04, -2007.95, 0.000, 0.000, 0.000, 15:51:59.734
121, -3823.85, -4322.83, -2743.73, -2360.76, 0.000, 0.000, 0.000, 15:51:59.746
122, -3673.48, -4179.45, -2566.64, -2254.77, 0.000, 0.000, 0.000, 15:51:59.747
123, -3330.67, -3833.40, -2233.48, -1942.99, 0.000, 0.000, 0.000, 15:51:59.761
124, -3448.86, -3953.58, -2360.48, -2031.55, 0.000, 0.000, 0.000, 15:51:59.761
125, -3840.70, -4338.97, -2749.99, -2378.06, 0.000, 0.000, 0.000, 15:51:59.764
126, -3690.79, -4192.19, -2601.06, -2264.92, 0.000, 0.000, 0.000, 15:51:59.765
127, -3343.38, -3844.55, -2228.03, -1957.57, 0.000, 0.000, 0.000, 15:51:59.775
128, -3447.05, -3949.91, -2337.05, -2026.58, 0.000, 0.000, 0.000, 15:51:59.775
129, -3833.00, -4335.86, -2758.81, -2378.35, 0.000, 0.000, 0.000, 15:51:59.791
130, -3693.95, -4197.52, -2621.10, -2273.34, 0.000, 0.000, 0.000, 15:51:59.792
131, -3354.02, -3853.93, -2264.74, -1961.71, 0.000, 0.000, 0.000, 15:51:59.793
132, -3452.31, -3952.02, -2342.58, -2019.29, 0.000, 0.000, 0.000, 15:51:59.793
133, -3829.54, -4330.48, -2759.22, -2359.67, 0.000, 0.000, 0.000, 15:51:59.807
134, -3685.62, -4193.14, -2591.70, -2261.69, 0.000, 0.000, 0.000, 15:51:59.808
135, -3339.42, -3845.41, -2235.27, -1947.14, 0.000, 0.000, 0.000, 15:51:59.819
136, -3450.02, -3951.49, -2317.72, -2017.43, 0.000, 0.000, 0.000, 15:51:59.819
137, -3841.55, -4348.91, -2750.59, -2369.80, 0.000, 0.000, 0.000, 15:51:59.821
138, -3691.52, -4198.40, -2530.73, -2257.58, 0.000, 0.000, 0.000, 15:51:59.821
139, -3335.01, -3853.16, -2223.20, -1952.56, 0.000, 0.000, 0.000, 15:51:59.836
140, -3454.82, -3958.14, -2295.83, -2031.74, 0.000, 0.000, 0.000, 15:51:59.836
141, -3839.61, -4344.66, -2726.01, -2375.99, 0.000, 0.000, 0.000, 15:51:59.849
142, -3692.06, -4201.66, -2601.19, -2259.88, 0.000, 0.000, 0.000, 15:51:59.849
143, -3350.57, -3857.36, -2248.33, -1952.09, 0.000, 0.000, 0.000, 15:51:59.849
144, -3449.44, -3950.87, -2343.06, -2021.05, 0.000, 0.000, 0.000, 15:51:59.849
145, -3837.53, -4334.45, -2743.75, -2364.06, 0.000, 0.000, 0.000, 15:51:59.866
146, -3688.47, -4190.86, -2553.24, -2248.15, 0.000, 0.000, 0.000, 15:51:59.866
147, -3330.48, -3836.13, -2159.67, -1934.55, 0.000, 0.000, 0.000, 15:51:59.881
148, -3442.15, -3944.51, -2317.16, -2008.38, 0.000, 0.000, 0.000, 15:51:59.881
149, -3828.03, -4335.44, -2752.77, -2357.91, 0.000, 0.000, 0.000, 15:51:59.882
150, -3689.34, -4187.88, -2592.39, -2252.52, 0.000, 0.000, 0.000, 15:51:59.882
151, -3325.97, -3837.79, -2200.26, -1937.79, 0.000, 0.000, 0.000, 15:51:59.899
152, -3438.52, -3951.00, -2326.77, -2012.12, 0.000, 0.000, 0.000, 15:51:59.899
153, -3836.02, -4338.83, -2711.83, -2365.38, 0.000, 0.000, 0.000, 15:51:59.911
154, -3695.13, -4205.18, -2569.45, -2256.76, 0.000, 0.000, 0.000, 15:51:59.912
155, -3344.52, -3849.98, -2242.92, -1942.67, 0.000, 0.000, 0.000, 15:51:59.912
156, -3448.46, -3952.03, -2328.96, -2009.83, 0.000, 0.000, 0.000, 15:51:59.912
157, -3827.55, -4331.35, -2717.70, -2357.89, 0.000, 0.000, 0.000, 15:51:59.926
158, -3685.39, -4188.00, -2600.75, -2251.65, 0.000, 0.000, 0.000, 15:51:59.926
159, -3334.06, -3842.87, -2192.25, -1935.84, 0.000, 0.000, 0.000, 15:51:59.945
160, -3437.07, -3944.14, -2325.18, -2007.60, 0.000, 0.000, 0.000, 15:51:59.946
161, -3835.96, -4333.93, -2696.47, -2361.99, 0.000, 0.000, 0.000, 15:51:59.947
162, -3689.35, -4194.47, -2617.62, -2249.48, 0.000, 0.000, 0.000, 15:51:59.947
163, -3337.82, -3846.44, -2205.02, -1946.55, 0.000, 0.000, 0.000, 15:51:59.956
164, -3450.20, -3952.40, -2313.86, -2020.72, 0.000, 0.000, 0.000, 15:51:59.956
165, -3833.56, -4342.65, -2729.20, -2377.33, 0.000, 0.000, 0.000, 15:51:59.969
166, -3691.57, -4197.86, -2603.04, -2267.91, 0.000, 0.000, 0.000, 15:51:59.969
167, -3347.67, -3850.15, -2215.10, -1954.24, 0.000, 0.000, 0.000, 15:51:59.969
168, -3458.84, -3965.69, -2329.44, -2032.08, 0.000, 0.000, 0.000, 15:51:59.969
169, -3839.73, -4345.75, -2736.39, -2367.73, 0.000, 0.000, 0.000, 15:51:59.984
170, -3684.43, -4187.28, -2577.72, -2237.73, 0.000, 0.000, 0.000, 15:51:59.984
171, -3330.26, -3840.35, -2187.53, -1931.54, 0.000, 0.000, 0.000, 15:52:00.000
172, -3444.46, -3948.33, -2324.84, -2009.61, 0.000, 0.000, 0.000, 15:52:00.000
173, -3827.47, -4325.20, -2705.61, -2354.78, 0.000, 0.000, 0.000, 15:52:00.000
174, -3683.30, -4185.36, -2583.47, -2243.25, 0.000, 0.000, 0.000, 15:52:00.000
175, -3334.16, -3849.33, -2231.62, -1931.78, 0.000, 0.000, 0.000, 15:52:00.014
176, -3449.44, -3953.84, -2347.47, -2011.90, 0.000, 0.000, 0.000, 15:52:00.014
177, -3841.73, -4345.33, -2779.97, -2372.70, 0.000, 0.000, 0.000, 15:52:00.031
178, -3688.99, -4193.22, -2584.66, -2252.47, 0.000, 0.000, 0.000, 15:52:00.031
179, -3345.08, -3854.09, -2211.35, -1931.42, 0.000, 0.000, 0.000, 15:52:00.033
180, -3460.05, -3960.46, -2323.37, -2016.02, 0.000, 0.000, 0.000, 15:52:00.033
181, -3841.52, -4345.19, -2725.65, -2354.38, 0.000, 0.000, 0.000, 15:52:00.044
182, -3685.97, -4186.12, -2581.88, -2243.59, 0.000, 0.000, 0.000, 15:52:00.045
183, -3333.56, -3833.83, -2210.62, -1931.31, 0.000, 0.000, 0.000, 15:52:00.061
184, -3441.40, -3938.87, -2348.52, -2010.04, 0.000, 0.000, 0.000, 15:52:00.062
185, -3813.93, -4298.87, -2720.50, -2342.39, 0.000, 0.000, 0.000, 15:52:00.064
186, -3661.75, -4152.67, -2558.77, -2232.60, 0.000, 0.000, 0.000, 15:52:00.064
187, -3311.52, -3811.78, -2207.08, -1922.40, 0.000, 0.000, 0.000, 15:52:00.076
188, -3433.92, -3922.81, -2325.02, -2012.42, 0.000, 0.000, 0.000, 15:52:00.077
189, -3808.05, -4296.20, -2703.31, -2357.90, 0.000, 0.000, 0.000, 15:52:00.092
190, -3666.57, -4161.58, -2596.61, -2244.28, 0.000, 0.000, 0.000, 15:52:00.092
191, -3328.52, -3833.77, -2221.03, -1933.74, 0.000, 0.000, 0.000, 15:52:00.099
192, -3450.12, -3950.61, -2331.36, -2024.28, 0.000, 0.000, 0.000, 15:52:00.099
193, -3824.49, -4320.37, -2711.37, -2363.59, 0.000, 0.000, 0.000, 15:52:00.107
194, -3662.19, -4171.96, -2558.00, -2238.52, 0.000, 0.000, 0.000, 15:52:00.107
195, -3328.71, -3839.49, -2218.98, -1930.67, 0.000, 0.000, 0.000, 15:52:00.119
196, -3460.90, -3970.27, -2350.88, -2023.40, 0.000, 0.000, 0.000, 15:52:00.121
197, -3833.63, -4332.70, -2706.68, -2366.02, 0.000, 0.000, 0.000, 15:52:00.122
198, -3680.30, -4182.20, -2566.34, -2237.97, 0.000, 0.000, 0.000, 15:52:00.123
199, -3332.27, -3836.37, -2178.92, -1926.21, 0.000, 0.000, 0.000, 15:52:00.135
200, -3456.66, -3962.94, -2302.42, -2014.95, 0.000, 0.000, 0.000, 15:52:00.135
0, -3835.28, -4336.90, -2708.79, -2363.13, 0.000, 0.000, 0.000, 15:52:00.136
1, -3688.57, -4192.91, -2577.66, -2242.01, 0.000, 0.000, 0.000, 15:52:00.149
2, -3346.50, -3847.31, -2217.86, -1919.88, 0.000, 0.000, 0.000, 15:52:00.149
