No.	Fokus		Waktu
864,	RIGHT		10:34:19;67467
865,	RIGHT		10:34:19;67483
866,	RIGHT		10:34:19;67501
867,	RIGHT		10:34:19;67516
868,	RIGHT		10:34:19;67532
869,	RIGHT		10:34:19;67551
870,	RIGHT		10:34:19;67567
871,	RIGHT		10:34:19;67583
872,	RIGHT		10:34:19;67601
873,	RIGHT		10:34:19;67616
874,	RIGHT		10:34:19;67633
875,	RIGHT		10:34:19;67651
876,	RIGHT		10:34:19;67667
877,	UP		10:34:19;67683
878,	UP		10:34:19;67702
879,	UP		10:34:19;67716
880,	UP		10:34:19;67732
881,	UP		10:34:19;67751
882,	UP		10:34:19;67769
883,	UP		10:34:19;67785
884,	UP		10:34:19;67803
885,	UP		10:34:19;67817
886,	UP		10:34:19;67833
887,	UP		10:34:19;67852
888,	UP		10:34:19;67867
889,	UP		10:34:19;67883
890,	UP		10:34:19;67902
891,	UP		10:34:19;67917
892,	UP		10:34:19;67933
893,	UP		10:34:19;67952
894,	UP		10:34:19;67966
895,	UP		10:34:20;67982
896,	UP		10:34:20;68002
897,	UP		10:34:20;68017
898,	UP		10:34:20;68034
899,	UP		10:34:20;68049
900,	UP		10:34:20;68066
901,	UP		10:34:20;68083
902,	UP		10:34:20;68102
903,	UP		10:34:20;68116
904,	UP		10:34:20;68133
905,	UP		10:34:20;68152
906,	UP		10:34:20;68167
907,	UP		10:34:20;68185
908,	UP		10:34:20;68199
909,	UP		10:34:20;68217
910,	UP		10:34:20;68233
911,	UP		10:34:20;68251
912,	UP		10:34:20;68266
913,	UP		10:34:20;68283
914,	UP		10:34:20;68301
915,	UP		10:34:20;68316
916,	UP		10:34:20;68333
917,	UP		10:34:20;68352
918,	UP		10:34:20;68368
919,	UP		10:34:20;68384
920,	UP		10:34:20;68402
921,	UP		10:34:20;68416
922,	UP		10:34:20;68432
923,	UP		10:34:20;68450
924,	UP		10:34:20;68466
925,	UP		10:34:20;68482
926,	UP		10:34:20;68501
927,	UP		10:34:20;68516
928,	UP		10:34:20;68532
929,	UP		10:34:20;68552
930,	UP		10:34:20;68566
931,	UP		10:34:20;68583
932,	UP		10:34:20;68601
933,	UP		10:34:20;68617
934,	UP		10:34:20;68633
935,	UP		10:34:20;68651
936,	UP		10:34:20;68667
937,	UP		10:34:20;68683
938,	UP		10:34:20;68701
939,	UP		10:34:20;68716
940,	UP		10:34:20;68733
941,	UP		10:34:20;68752
942,	UP		10:34:20;68767
943,	UP		10:34:20;68783
944,	UP		10:34:20;68801
945,	UP		10:34:20;68816
946,	UP		10:34:20;68832
947,	UP		10:34:20;68850
948,	UP		10:34:20;68867
949,	UP		10:34:20;68882
950,	UP		10:34:20;68899
951,	UP		10:34:20;68915
952,	UP		10:34:20;68931
953,	UP		10:34:20;68949
954,	UP		10:34:20;68964
955,	UP		10:34:21;68980
956,	UP		10:34:21;69001
957,	UP		10:34:21;69016
958,	RIGHT		10:34:21;69033
959,	RIGHT		10:34:21;69052
960,	RIGHT		10:34:21;69067
961,	RIGHT		10:34:21;69082
962,	RIGHT		10:34:21;69101
963,	RIGHT		10:34:21;69116
964,	RIGHT		10:34:21;69133
965,	RIGHT		10:34:21;69152
966,	RIGHT		10:34:21;69166
967,	RIGHT		10:34:21;69183
968,	RIGHT		10:34:21;69201
969,	RIGHT		10:34:21;69217
970,	RIGHT		10:34:21;69232
971,	RIGHT		10:34:21;69252
972,	RIGHT		10:34:21;69268
973,	RIGHT		10:34:21;69283
974,	RIGHT		10:34:21;69302
975,	RIGHT		10:34:21;69316
976,	RIGHT		10:34:21;69332
977,	RIGHT		10:34:21;69350
978,	RIGHT		10:34:21;69366
979,	RIGHT		10:34:21;69381
980,	RIGHT		10:34:21;69401
981,	RIGHT		10:34:21;69416
982,	RIGHT		10:34:21;69432
983,	RIGHT		10:34:21;69450
984,	RIGHT		10:34:21;69465
985,	RIGHT		10:34:21;69481
986,	RIGHT		10:34:21;69500
987,	RIGHT		10:34:21;69518
988,	RIGHT		10:34:21;69536
989,	RIGHT		10:34:21;69550
990,	RIGHT		10:34:21;69567
991,	RIGHT		10:34:21;69583
992,	RIGHT		10:34:21;69601
993,	RIGHT		10:34:21;69616
994,	RIGHT		10:34:21;69633
995,	RIGHT		10:34:21;69651
996,	RIGHT		10:34:21;69666
997,	RIGHT		10:34:21;69685
998,	RIGHT		10:34:21;69699
999,	RIGHT		10:34:21;69716
1000,	RIGHT		10:34:21;69733
1001,	RIGHT		10:34:21;69751
1002,	RIGHT		10:34:21;69767
1003,	RIGHT		10:34:21;69784
1004,	RIGHT		10:34:21;69802
1005,	RIGHT		10:34:21;69818
1006,	RIGHT		10:34:21;69836
1007,	RIGHT		10:34:21;69852
1008,	RIGHT		10:34:21;69869
1009,	RIGHT		10:34:21;69886
1010,	RIGHT		10:34:21;69902
1011,	RIGHT		10:34:21;69918
1012,	RIGHT		10:34:21;69936
1013,	RIGHT		10:34:21;69951
1014,	RIGHT		10:34:21;69967
1015,	RIGHT		10:34:22;69984
1016,	RIGHT		10:34:22;69999
1017,	RIGHT		10:34:22;70015
1018,	RIGHT		10:34:22;70031
1019,	RIGHT		10:34:22;70048
1020,	RIGHT		10:34:22;70063
1021,	RIGHT		10:34:22;70080
1022,	RIGHT		10:34:22;70097
1023,	RIGHT		10:34:22;70113
1024,	RIGHT		10:34:22;70129
1025,	RIGHT		10:34:22;70146
1026,	RIGHT		10:34:22;70164
1027,	RIGHT		10:34:22;70180
1028,	RIGHT		10:34:22;70198
1029,	RIGHT		10:34:22;70215
1030,	RIGHT		10:34:22;70230
1031,	RIGHT		10:34:22;70249
1032,	RIGHT		10:34:22;70264
1033,	RIGHT		10:34:22;70281
1034,	RIGHT		10:34:22;70298
1035,	RIGHT		10:34:22;70315
1036,	LEFT		10:34:22;70331
1037,	LEFT		10:34:22;70350
1038,	LEFT		10:34:22;70364
1039,	LEFT		10:34:22;70382
1040,	LEFT		10:34:22;70399
1041,	LEFT		10:34:22;70415
1042,	LEFT		10:34:22;70431
1043,	LEFT		10:34:22;70449
1044,	LEFT		10:34:22;70466
1045,	LEFT		10:34:22;70481
1046,	LEFT		10:34:22;70499
1047,	LEFT		10:34:22;70516
1048,	LEFT		10:34:22;70531
1049,	LEFT		10:34:22;70549
1050,	LEFT		10:34:22;70565
1051,	LEFT		10:34:22;70581
1052,	LEFT		10:34:22;70599
1053,	LEFT		10:34:22;70615
1054,	LEFT		10:34:22;70632
1055,	LEFT		10:34:22;70651
1056,	LEFT		10:34:22;70665
1057,	LEFT		10:34:22;70683
1058,	LEFT		10:34:22;70700
1059,	LEFT		10:34:22;70715
1060,	LEFT		10:34:22;70731
1061,	LEFT		10:34:22;70749
1062,	LEFT		10:34:22;70765
1063,	LEFT		10:34:22;70781
1064,	LEFT		10:34:22;70799
1065,	LEFT		10:34:22;70815
1066,	LEFT		10:34:22;70831
1067,	LEFT		10:34:22;70851
1068,	LEFT		10:34:22;70866
1069,	LEFT		10:34:22;70882
1070,	LEFT		10:34:22;70900
1071,	LEFT		10:34:22;70916
1072,	LEFT		10:34:22;70932
1073,	LEFT		10:34:22;70951
1074,	LEFT		10:34:22;70967
1075,	LEFT		10:34:23;70982
1076,	LEFT		10:34:23;71000
1077,	LEFT		10:34:23;71016
1078,	LEFT		10:34:23;71032
1079,	LEFT		10:34:23;71051
1080,	LEFT		10:34:23;71066
1081,	LEFT		10:34:23;71082
1082,	LEFT		10:34:23;71100
1083,	LEFT		10:34:23;71115
