No.	Fokus		Waktu
201,	LEFT		10:34:5;53932
202,	LEFT		10:34:5;53950
203,	LEFT		10:34:5;53965
204,	LEFT		10:34:6;53981
205,	LEFT		10:34:6;53999
206,	LEFT		10:34:6;54016
207,	LEFT		10:34:6;54032
208,	LEFT		10:34:6;54048
209,	LEFT		10:34:6;54067
210,	LEFT		10:34:6;54082
211,	LEFT		10:34:6;54100
212,	LEFT		10:34:6;54115
213,	LEFT		10:34:6;54131
214,	LEFT		10:34:6;54148
215,	LEFT		10:34:6;54167
216,	LEFT		10:34:6;54182
217,	LEFT		10:34:6;54198
218,	LEFT		10:34:6;54217
219,	LEFT		10:34:6;54233
220,	LEFT		10:34:6;54251
221,	LEFT		10:34:6;54265
222,	LEFT		10:34:6;54280
223,	LEFT		10:34:6;54297
224,	LEFT		10:34:6;54315
225,	LEFT		10:34:6;54330
226,	LEFT		10:34:6;54349
227,	LEFT		10:34:6;54369
228,	LEFT		10:34:6;54384
229,	LEFT		10:34:6;54399
230,	LEFT		10:34:6;54417
231,	LEFT		10:34:6;54433
232,	LEFT		10:34:6;54449
233,	LEFT		10:34:6;54467
234,	LEFT		10:34:6;54482
235,	LEFT		10:34:6;54499
236,	LEFT		10:34:6;54517
237,	LEFT		10:34:6;54533
238,	LEFT		10:34:6;54550
239,	LEFT		10:34:6;54565
240,	LEFT		10:34:6;54581
241,	RIGHT		10:34:6;54598
242,	RIGHT		10:34:6;54615
243,	RIGHT		10:34:6;54631
244,	RIGHT		10:34:6;54647
245,	RIGHT		10:34:6;54664
246,	RIGHT		10:34:6;54682
247,	RIGHT		10:34:6;54697
248,	RIGHT		10:34:6;54714
249,	RIGHT		10:34:6;54730
250,	RIGHT		10:34:6;54748
251,	RIGHT		10:34:6;54767
252,	RIGHT		10:34:6;54783
253,	RIGHT		10:34:6;54800
254,	RIGHT		10:34:6;54820
255,	RIGHT		10:34:6;54834
256,	RIGHT		10:34:6;54849
257,	RIGHT		10:34:6;54867
258,	RIGHT		10:34:6;54882
259,	RIGHT		10:34:6;54898
260,	RIGHT		10:34:6;54917
261,	RIGHT		10:34:6;54932
262,	RIGHT		10:34:6;54948
263,	RIGHT		10:34:6;54968
264,	RIGHT		10:34:7;54983
265,	RIGHT		10:34:7;54999
266,	RIGHT		10:34:7;55017
267,	RIGHT		10:34:7;55032
268,	RIGHT		10:34:7;55048
269,	RIGHT		10:34:7;55067
270,	RIGHT		10:34:7;55082
271,	RIGHT		10:34:7;55098
272,	RIGHT		10:34:7;55118
273,	RIGHT		10:34:7;55134
274,	RIGHT		10:34:7;55150
275,	RIGHT		10:34:7;55167
276,	RIGHT		10:34:7;55183
277,	RIGHT		10:34:7;55200
278,	RIGHT		10:34:7;55218
279,	RIGHT		10:34:7;55234
280,	RIGHT		10:34:7;55252
281,	RIGHT		10:34:7;55268
282,	RIGHT		10:34:7;55284
283,	RIGHT		10:34:7;55301
284,	RIGHT		10:34:7;55319
285,	RIGHT		10:34:7;55335
286,	RIGHT		10:34:7;55351
287,	RIGHT		10:34:7;55369
288,	RIGHT		10:34:7;55385
289,	RIGHT		10:34:7;55402
290,	RIGHT		10:34:7;55417
291,	RIGHT		10:34:7;55433
292,	RIGHT		10:34:7;55450
293,	RIGHT		10:34:7;55467
294,	RIGHT		10:34:7;55483
295,	RIGHT		10:34:7;55500
296,	RIGHT		10:34:7;55518
297,	RIGHT		10:34:7;55534
298,	RIGHT		10:34:7;55552
299,	RIGHT		10:34:7;55567
300,	RIGHT		10:34:7;55583
301,	RIGHT		10:34:7;55599
302,	RIGHT		10:34:7;55617
303,	RIGHT		10:34:7;55632
304,	RIGHT		10:34:7;55649
305,	RIGHT		10:34:7;55667
306,	RIGHT		10:34:7;55682
307,	RIGHT		10:34:7;55698
308,	RIGHT		10:34:7;55717
309,	RIGHT		10:34:7;55733
310,	RIGHT		10:34:7;55751
311,	RIGHT		10:34:7;55766
312,	RIGHT		10:34:7;55782
313,	RIGHT		10:34:7;55797
314,	RIGHT		10:34:7;55814
315,	RIGHT		10:34:7;55830
316,	RIGHT		10:34:7;55846
317,	RIGHT		10:34:7;55864
318,	RIGHT		10:34:7;55880
319,	RIGHT		10:34:7;55897
320,	RIGHT		10:34:7;55913
321,	RIGHT		10:34:7;55930
322,	RIGHT		10:34:7;55947
323,	RIGHT		10:34:7;55965
324,	RIGHT		10:34:8;55980
325,	RIGHT		10:34:8;55997
326,	RIGHT		10:34:8;56014
327,	RIGHT		10:34:8;56030
328,	RIGHT		10:34:8;56047
329,	RIGHT		10:34:8;56063
330,	RIGHT		10:34:8;56080
331,	RIGHT		10:34:8;56096
332,	RIGHT		10:34:8;56114
333,	UP		10:34:8;56134
334,	UP		10:34:8;56149
335,	UP		10:34:8;56168
336,	UP		10:34:8;56183
337,	UP		10:34:8;56202
338,	UP		10:34:8;56217
339,	UP		10:34:8;56234
340,	UP		10:34:8;56251
341,	UP		10:34:8;56269
342,	UP		10:34:8;56283
343,	UP		10:34:8;56300
344,	UP		10:34:8;56318
345,	UP		10:34:8;56334
346,	UP		10:34:8;56353
347,	UP		10:34:8;56367
348,	UP		10:34:8;56384
349,	UP		10:34:8;56400
350,	UP		10:34:8;56418
351,	UP		10:34:8;56434
352,	UP		10:34:8;56450
353,	UP		10:34:8;56468
354,	UP		10:34:8;56483
355,	UP		10:34:8;56501
356,	UP		10:34:8;56516
357,	UP		10:34:8;56532
358,	UP		10:34:8;56548
359,	UP		10:34:8;56567
360,	UP		10:34:8;56583
361,	UP		10:34:8;56600
362,	UP		10:34:8;56619
363,	UP		10:34:8;56634
364,	UP		10:34:8;56650
365,	UP		10:34:8;56670
366,	UP		10:34:8;56684
367,	UP		10:34:8;56701
368,	UP		10:34:8;56720
369,	UP		10:34:8;56734
370,	UP		10:34:8;56751
371,	UP		10:34:8;56770
372,	UP		10:34:8;56785
373,	UP		10:34:8;56801
374,	UP		10:34:8;56818
375,	UP		10:34:8;56833
376,	UP		10:34:8;56849
377,	UP		10:34:8;56868
378,	UP		10:34:8;56883
379,	UP		10:34:8;56899
380,	UP		10:34:8;56918
381,	UP		10:34:8;56933
382,	UP		10:34:8;56949
383,	UP		10:34:8;56968
384,	UP		10:34:9;56984
385,	UP		10:34:9;56999
386,	UP		10:34:9;57018
387,	UP		10:34:9;57033
388,	UP		10:34:9;57050
389,	UP		10:34:9;57067
390,	UP		10:34:9;57082
391,	UP		10:34:9;57098
392,	UP		10:34:9;57116
393,	UP		10:34:9;57132
394,	UP		10:34:9;57149
395,	UP		10:34:9;57167
396,	UP		10:34:9;57183
397,	UP		10:34:9;57200
398,	UP		10:34:9;57218
399,	UP		10:34:9;57233
400,	UP		10:34:9;57249
401,	UP		10:34:9;57267
402,	UP		10:34:9;57283
403,	UP		10:34:9;57299
404,	UP		10:34:9;57317
405,	UP		10:34:9;57333
406,	UP		10:34:9;57350
407,	UP		10:34:9;57368
408,	UP		10:34:9;57382
409,	UP		10:34:9;57397
410,	UP		10:34:9;57415
411,	UP		10:34:9;57432
412,	UP		10:34:9;57447
413,	UP		10:34:9;57464
414,	UP		10:34:10;58717
415,	UP		10:34:10;58734
416,	UP		10:34:10;58750
417,	UP		10:34:10;58767
418,	UP		10:34:10;58783
419,	UP		10:34:10;58798
420,	UP		10:34:10;58814
421,	UP		10:34:10;58834
422,	UP		10:34:10;58850
423,	UP		10:34:10;58866
424,	UP		10:34:10;58884
425,	UP		10:34:10;58899
426,	UP		10:34:10;58915
427,	UP		10:34:10;58934
428,	UP		10:34:10;58949
429,	UP		10:34:10;58965
430,	UP		10:34:11;58984
431,	UP		10:34:11;58999
432,	UP		10:34:11;59016
433,	UP		10:34:11;59034
434,	UP		10:34:11;59049
435,	UP		10:34:11;59065
436,	UP		10:34:11;59084
437,	UP		10:34:11;59099
438,	UP		10:34:11;59115
439,	UP		10:34:11;59132
440,	UP		10:34:11;59149
441,	UP		10:34:11;59166
442,	UP		10:34:11;59184
443,	UP		10:34:11;59199
444,	UP		10:34:11;59215
445,	UP		10:34:11;59233
446,	UP		10:34:11;59249
447,	UP		10:34:11;59265
448,	UP		10:34:11;59283
449,	UP		10:34:11;59299
450,	UP		10:34:11;59315
451,	UP		10:34:11;59333
452,	UP		10:34:11;59349
453,	UP		10:34:11;59365
454,	UP		10:34:11;59383
455,	UP		10:34:11;59399
456,	UP		10:34:11;59415
457,	UP		10:34:11;59434
458,	UP		10:34:11;59449
459,	UP		10:34:11;59468
460,	UP		10:34:11;59484
461,	UP		10:34:11;59498
462,	UP		10:34:11;59514
463,	UP		10:34:11;59531
