No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-10-06_18-39-35
68, -4584.16, -4960.78, 780.92, 1051.66, 0.000, 0.000, 0.000, 18:39:41.240
69, -4587.29, -4960.99, 773.88, 1044.49, 0.000, 0.000, 0.000, 18:39:41.241
70, -4607.74, -4963.94, 763.83, 1039.70, 0.000, 0.000, 0.000, 18:39:41.242
71, -4597.75, -4976.08, 775.74, 1039.11, 0.000, 0.000, 0.000, 18:39:41.251
72, -4575.44, -4946.41, 781.14, 1038.73, 0.000, 0.000, 0.000, 18:39:41.253
73, -4580.16, -4968.12, 766.14, 1038.77, 0.000, 0.000, 0.000, 18:39:41.255
74, -4589.43, -4975.21, 779.24, 1044.14, 0.000, 0.000, 0.000, 18:39:41.255
75, -4614.66, -4970.24, 785.21, 1049.40, 0.000, 0.000, 0.000, 18:39:41.281
76, -4548.38, -4919.13, 788.21, 1043.51, 0.000, 0.000, 0.000, 18:39:41.285
77, -4597.09, -4959.06, 792.44, 1049.47, 0.000, 0.000, 0.000, 18:39:41.288
78, -4587.70, -4972.04, 794.86, 1070.40, 0.000, 0.000, 0.000, 18:39:41.290
79, -4565.77, -4893.53, 811.75, 1055.57, 0.000, 0.000, 0.000, 18:39:41.292
80, -4532.92, -4849.47, 808.02, 1048.73, 0.000, 0.000, 0.000, 18:39:41.293
81, -4496.84, -4912.19, 787.83, 1056.66, 0.000, 0.000, 0.000, 18:39:41.301
82, -4416.14, -4801.77, 776.53, 1024.88, 0.000, 0.000, 0.000, 18:39:41.303
83, -4489.32, -4836.82, 801.69, 1029.96, 0.000, 0.000, 0.000, 18:39:41.306
84, -4414.46, -4782.53, 786.45, 1027.18, 0.000, 0.000, 0.000, 18:39:41.307
85, -4399.87, -4755.67, 768.07, 1013.72, 0.000, 0.000, 0.000, 18:39:41.323
86, -4414.30, -4816.41, 772.99, 1001.77, 0.000, 0.000, 0.000, 18:39:41.325
87, -4470.84, -4808.93, 789.36, 1004.94, 0.000, 0.000, 0.000, 18:39:41.335
88, -4459.02, -4895.53, 810.04, 1029.85, 0.000, 0.000, 0.000, 18:39:41.336
89, -4449.10, -4837.57, 792.17, 1013.26, 0.000, 0.000, 0.000, 18:39:41.336
90, -4445.48, -4814.64, 774.43, 983.04, 0.000, 0.000, 0.000, 18:39:41.337
91, -4473.76, -4848.50, 797.24, 1001.14, 0.000, 0.000, 0.000, 18:39:41.359
92, -4521.95, -4874.03, 794.14, 1004.07, 0.000, 0.000, 0.000, 18:39:41.360
93, -4513.08, -4902.36, 781.21, 1003.95, 0.000, 0.000, 0.000, 18:39:41.373
94, -4520.67, -4903.65, 782.87, 1005.33, 0.000, 0.000, 0.000, 18:39:41.373
95, -4550.20, -4917.18, 805.77, 1001.81, 0.000, 0.000, 0.000, 18:39:41.374
96, -4546.27, -4919.30, 799.14, 1009.24, 0.000, 0.000, 0.000, 18:39:41.379
97, -4516.80, -4875.57, 797.15, 994.29, 0.000, 0.000, 0.000, 18:39:41.381
98, -4566.26, -4927.36, 793.53, 1005.51, 0.000, 0.000, 0.000, 18:39:41.383
99, -4579.52, -4952.21, 803.53, 1000.90, 0.000, 0.000, 0.000, 18:39:41.386
100, -4573.12, -4959.14, 806.64, 1005.44, 0.000, 0.000, 0.000, 18:39:41.387
101, -4586.14, -4942.29, 804.69, 999.89, 0.000, 0.000, 0.000, 18:39:41.389
102, -4578.28, -4949.20, 798.43, 1006.89, 0.000, 0.000, 0.000, 18:39:41.391
103, -4569.65, -4958.62, 808.39, 1019.11, 0.000, 0.000, 0.000, 18:39:41.393
104, -4588.83, -4968.18, 805.85, 1012.64, 0.000, 0.000, 0.000, 18:39:41.396
105, -4617.82, -5000.76, 803.23, 1015.14, 0.000, 0.000, 0.000, 18:39:41.402
106, -4593.88, -4973.77, 811.46, 1027.48, 0.000, 0.000, 0.000, 18:39:41.405
107, -4594.41, -4955.91, 800.43, 1022.04, 0.000, 0.000, 0.000, 18:39:41.415
108, -4584.54, -4971.49, 799.20, 1032.58, 0.000, 0.000, 0.000, 18:39:41.417
109, -4617.95, -4982.82, 791.80, 1029.34, 0.000, 0.000, 0.000, 18:39:41.419
110, -4601.63, -4973.24, 791.82, 1030.92, 0.000, 0.000, 0.000, 18:39:41.419
111, -4598.98, -4975.50, 796.16, 1030.45, 0.000, 0.000, 0.000, 18:39:41.446
112, -4607.97, -4992.60, 795.53, 1018.82, 0.000, 0.000, 0.000, 18:39:41.450
113, -4625.67, -4989.02, 785.45, 1021.20, 0.000, 0.000, 0.000, 18:39:41.452
114, -4603.13, -4989.85, 778.27, 1020.17, 0.000, 0.000, 0.000, 18:39:41.453
115, -4610.35, -4984.85, 785.18, 1015.67, 0.000, 0.000, 0.000, 18:39:41.453
116, -4612.92, -4990.42, 782.40, 1012.14, 0.000, 0.000, 0.000, 18:39:41.456
117, -4623.62, -4992.31, 780.98, 1016.44, 0.000, 0.000, 0.000, 18:39:41.457
118, -4623.78, -4984.79, 775.53, 1028.38, 0.000, 0.000, 0.000, 18:39:41.458
119, -4618.07, -4989.58, 778.41, 1038.88, 0.000, 0.000, 0.000, 18:39:41.459
120, -4612.30, -4975.27, 784.97, 1041.40, 0.000, 0.000, 0.000, 18:39:41.459
121, -4597.85, -4970.47, 780.11, 1030.84, 0.000, 0.000, 0.000, 18:39:41.461
122, -4607.20, -4975.98, 771.23, 1030.33, 0.000, 0.000, 0.000, 18:39:41.467
123, -4592.96, -4967.61, 775.48, 1031.41, 0.000, 0.000, 0.000, 18:39:41.477
