%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_10-41-50
0, 4.59, 0.00, 9.68, 8.39, 0.000, 0.000, 0.000, 10:41:55.963
1, 10.14, 0.00, 12.97, 11.46, 0.000, 0.000, 0.000, 10:41:55.977
2, 22.59, 0.00, 24.65, 22.44, 0.000, 0.000, 0.000, 10:41:55.978
3, 15.98, 0.00, 19.03, 24.74, 0.000, 0.000, 0.000, 10:41:55.992
4, 6.83, 0.00, 10.14, 12.22, 0.000, 0.000, 0.000, 10:41:55.993
5, 12.12, 0.00, 13.17, 17.04, 0.000, 0.000, 0.000, 10:41:55.993
6, 18.18, 0.00, 24.23, 27.15, 0.000, 0.000, 0.000, 10:41:55.994
7, 14.08, 0.00, 19.28, 20.95, 0.000, 0.000, 0.000, 10:41:56.008
8, 10.62, 0.00, 9.63, 13.37, 0.000, 0.000, 0.000, 10:41:56.008
9, 8.16, 0.00, 8.19, 13.35, 0.000, 0.000, 0.000, 10:41:56.023
10, 20.38, 0.00, 24.27, 24.62, 0.000, 0.000, 0.000, 10:41:56.025
11, 16.94, 0.00, 26.62, 24.01, 0.000, 0.000, 0.000, 10:41:56.025
12, 3.55, 0.00, 11.80, 9.88, 0.000, 0.000, 0.000, 10:41:56.025
13, 10.21, 0.00, 15.14, 18.85, 0.000, 0.000, 0.000, 10:41:56.037
14, 22.85, 0.00, 22.05, 25.80, 0.000, 0.000, 0.000, 10:41:56.037
15, 16.95, 0.00, 21.74, 23.51, 0.000, 0.000, 0.000, 10:41:56.052
16, 8.88, 0.00, 10.05, 10.63, 0.000, 0.000, 0.000, 10:41:56.054
17, 6.42, 0.00, 9.84, 15.26, 0.000, 0.000, 0.000, 10:41:56.055
18, 24.56, 0.00, 27.82, 28.33, 0.000, 0.000, 0.000, 10:41:56.059
19, 16.35, 0.00, 21.83, 22.50, 0.000, 0.000, 0.000, 10:41:56.068
20, 2.82, 0.00, 4.52, 7.17, 0.000, 0.000, 0.000, 10:41:56.069
21, 8.58, 0.00, 12.05, 16.50, 0.000, 0.000, 0.000, 10:41:56.080
22, 19.39, 0.00, 21.75, 27.57, 0.000, 0.000, 0.000, 10:41:56.082
23, 14.44, 0.00, 16.37, 23.30, 0.000, 0.000, 0.000, 10:41:56.086
24, 6.78, 0.00, 4.16, 5.28, 0.000, 0.000, 0.000, 10:41:56.086
25, 7.30, 0.00, 13.44, 10.70, 0.000, 0.000, 0.000, 10:41:56.112
26, 15.05, 0.00, 23.20, 19.80, 0.000, 0.000, 0.000, 10:41:56.112
27, 16.61, 0.00, 21.68, 23.94, 0.000, 0.000, 0.000, 10:41:56.113
28, 2.90, 0.00, 8.88, 8.21, 0.000, 0.000, 0.000, 10:41:56.113
29, 6.90, 0.00, 10.03, 13.03, 0.000, 0.000, 0.000, 10:41:56.114
30, 20.09, 0.00, 25.20, 24.64, 0.000, 0.000, 0.000, 10:41:56.114
31, 15.50, 0.00, 19.25, 24.32, 0.000, 0.000, 0.000, 10:41:56.129
32, 5.74, 0.00, 2.67, 11.45, 0.000, 0.000, 0.000, 10:41:56.130
