%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-26_13-01-46
0, 6.62, 13.89, 10.47, 14.86, 0.000, 0.000, 0.000, 13:01:49.857
1, 13.08, 16.70, 14.71, 19.45, 0.000, 0.000, 0.000, 13:01:49.873
2, 8.92, 14.03, 16.41, 19.79, 0.000, 0.000, 0.000, 13:01:49.873
3, 7.51, 14.96, 10.44, 11.90, 0.000, 0.000, 0.000, 13:01:49.882
4, 6.32, 10.31, 14.27, 12.90, 0.000, 0.000, 0.000, 13:01:49.884
5, 11.42, 18.62, 15.42, 18.88, 0.000, 0.000, 0.000, 13:01:49.886
6, 10.18, 15.97, 11.25, 20.91, 0.000, 0.000, 0.000, 13:01:49.888
7, 3.41, 9.46, 7.64, 9.16, 0.000, 0.000, 0.000, 13:01:49.897
8, 13.20, 14.81, 16.85, 15.92, 0.000, 0.000, 0.000, 13:01:49.898
9, 18.58, 20.42, 17.48, 23.55, 0.000, 0.000, 0.000, 13:01:49.913
10, 12.05, 16.09, 14.21, 18.15, 0.000, 0.000, 0.000, 13:01:49.913
11, 2.98, 11.89, 7.57, 10.65, 0.000, 0.000, 0.000, 13:01:49.914
12, 7.10, 13.40, 8.59, 13.30, 0.000, 0.000, 0.000, 13:01:49.914
13, 10.13, 19.17, 14.46, 15.21, 0.000, 0.000, 0.000, 13:01:49.927
14, 13.07, 20.15, 18.13, 19.61, 0.000, 0.000, 0.000, 13:01:49.928
15, 8.98, 14.21, 14.42, 15.10, 0.000, 0.000, 0.000, 13:01:49.942
16, 6.94, 14.06, 12.62, 17.69, 0.000, 0.000, 0.000, 13:01:49.943
17, 14.69, 22.90, 18.23, 18.62, 0.000, 0.000, 0.000, 13:01:49.943
18, 12.30, 8.79, 10.71, 15.02, 0.000, 0.000, 0.000, 13:01:49.944
19, 8.43, 14.69, 7.08, 13.36, 0.000, 0.000, 0.000, 13:01:49.957
20, 10.54, 15.19, 14.96, 11.73, 0.000, 0.000, 0.000, 13:01:49.957
21, 10.00, 17.44, 15.02, 16.96, 0.000, 0.000, 0.000, 13:01:49.972
22, 10.85, 13.80, 15.80, 15.23, 0.000, 0.000, 0.000, 13:01:49.975
23, 6.23, 10.19, 10.87, 7.78, 0.000, 0.000, 0.000, 13:01:49.976
24, 7.07, 13.87, 14.08, 14.85, 0.000, 0.000, 0.000, 13:01:49.976
25, 8.98, 17.62, 14.83, 20.72, 0.000, 0.000, 0.000, 13:01:49.989
26, 8.52, 14.42, 15.28, 21.27, 0.000, 0.000, 0.000, 13:01:49.990
27, 4.17, 10.98, 9.13, 9.48, 0.000, 0.000, 0.000, 13:01:50.002
28, 10.44, 18.71, 13.14, 15.16, 0.000, 0.000, 0.000, 13:01:50.005
29, 14.22, 13.32, 12.65, 23.37, 0.000, 0.000, 0.000, 13:01:50.008
30, 14.26, 14.69, 17.35, 23.24, 0.000, 0.000, 0.000, 13:01:50.008
31, 6.27, 10.70, 8.33, 11.37, 0.000, 0.000, 0.000, 13:01:50.018
32, 9.25, 15.76, 12.54, 11.56, 0.000, 0.000, 0.000, 13:01:50.020
33, 11.60, 19.11, 17.43, 18.86, 0.000, 0.000, 0.000, 13:01:50.032
34, 11.89, 16.89, 14.14, 17.83, 0.000, 0.000, 0.000, 13:01:50.033
35, 5.98, 12.77, 8.29, 10.40, 0.000, 0.000, 0.000, 13:01:50.043
36, 11.18, 13.00, 8.73, 15.95, 0.000, 0.000, 0.000, 13:01:50.044
37, 13.78, 18.70, 17.25, 12.36, 0.000, 0.000, 0.000, 13:01:50.047
38, 12.60, 15.10, 18.26, 21.60, 0.000, 0.000, 0.000, 13:01:50.047
39, 6.96, 12.11, 8.37, 12.05, 0.000, 0.000, 0.000, 13:01:50.061
