%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_09-32-19
0, 11.54, 0.00, 0.00, 18.02, 0.000, 0.000, 0.000, 09:32:24.662
1, 18.51, 0.00, 0.00, 20.84, 0.000, 0.000, 0.000, 09:32:25.238
2, 6.22, 0.00, 0.00, 5.67, 0.000, 0.000, 0.000, 09:32:25.239
3, -2.51, 0.00, 0.00, 7.89, 0.000, 0.000, 0.000, 09:32:25.240
4, 10.41, 0.00, 0.00, 17.41, 0.000, 0.000, 0.000, 09:32:25.241
5, 13.53, 0.00, 0.00, 21.12, 0.000, 0.000, 0.000, 09:32:25.242
6, 1.38, 0.00, 0.00, 10.15, 0.000, 0.000, 0.000, 09:32:25.243
7, 4.80, 0.00, 0.00, 2.27, 0.000, 0.000, 0.000, 09:32:25.245
8, 11.84, 0.00, 0.00, 13.16, 0.000, 0.000, 0.000, 09:32:25.247
9, 12.36, 0.00, 0.00, 19.93, 0.000, 0.000, 0.000, 09:32:25.248
10, 4.47, 0.00, 0.00, 8.95, 0.000, 0.000, 0.000, 09:32:25.252
11, -0.58, 0.00, 0.00, 2.31, 0.000, 0.000, 0.000, 09:32:25.253
12, 8.87, 0.00, 0.00, 16.20, 0.000, 0.000, 0.000, 09:32:25.253
13, 14.66, 0.00, 0.00, 23.38, 0.000, 0.000, 0.000, 09:32:25.254
14, 4.69, 0.00, 0.00, 9.47, 0.000, 0.000, 0.000, 09:32:25.255
15, 3.20, 0.00, 0.00, 4.87, 0.000, 0.000, 0.000, 09:32:25.256
16, 10.05, 0.00, 0.00, 16.88, 0.000, 0.000, 0.000, 09:32:25.257
17, 11.14, 0.00, 0.00, 24.96, 0.000, 0.000, 0.000, 09:32:25.257
18, 5.01, 0.00, 0.00, 15.71, 0.000, 0.000, 0.000, 09:32:25.258
19, 1.26, 0.00, 0.00, 3.82, 0.000, 0.000, 0.000, 09:32:25.259
20, 12.05, 0.00, 0.00, 16.46, 0.000, 0.000, 0.000, 09:32:25.262
21, 13.69, 0.00, 0.00, 18.11, 0.000, 0.000, 0.000, 09:32:25.263
22, 7.84, 0.00, 0.00, 14.71, 0.000, 0.000, 0.000, 09:32:25.264
23, -0.31, 0.00, 0.00, 5.70, 0.000, 0.000, 0.000, 09:32:25.265
24, 9.88, 0.00, 0.00, 16.68, 0.000, 0.000, 0.000, 09:32:25.266
