%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_09-48-11
0, -9.64, 0.00, -17.82, -11.03, 0.000, 0.000, 0.000, 09:48:24.717
1, 16.49, 0.00, 20.86, 24.20, 0.000, 0.000, 0.000, 09:48:24.734
2, 38.19, 0.00, 44.96, 47.95, 0.000, 0.000, 0.000, 09:48:24.735
3, 9.97, 0.00, 8.55, 14.57, 0.000, 0.000, 0.000, 09:48:24.745
4, -11.64, 0.00, -12.86, -13.60, 0.000, 0.000, 0.000, 09:48:24.746
5, 17.85, 0.00, 19.68, 24.52, 0.000, 0.000, 0.000, 09:48:24.747
6, 38.70, 0.00, 47.84, 49.51, 0.000, 0.000, 0.000, 09:48:24.748
7, 4.71, 0.00, 10.84, 9.77, 0.000, 0.000, 0.000, 09:48:24.758
8, -13.66, 0.00, -12.25, -8.72, 0.000, 0.000, 0.000, 09:48:24.761
9, 16.98, 0.00, 18.24, 23.15, 0.000, 0.000, 0.000, 09:48:24.774
10, 38.66, 0.00, 46.37, 50.23, 0.000, 0.000, 0.000, 09:48:24.774
11, 5.47, 0.00, 9.77, 10.24, 0.000, 0.000, 0.000, 09:48:24.775
12, -10.54, 0.00, -9.65, -10.89, 0.000, 0.000, 0.000, 09:48:24.778
13, 20.62, 0.00, 18.81, 23.64, 0.000, 0.000, 0.000, 09:48:24.788
14, 39.25, 0.00, 47.09, 50.03, 0.000, 0.000, 0.000, 09:48:24.790
15, 5.60, 0.00, 6.30, 13.04, 0.000, 0.000, 0.000, 09:48:24.803
16, -13.66, 0.00, -16.84, -14.83, 0.000, 0.000, 0.000, 09:48:24.804
17, 18.95, 0.00, 20.25, 21.76, 0.000, 0.000, 0.000, 09:48:24.805
18, 34.92, 0.00, 46.00, 52.71, 0.000, 0.000, 0.000, 09:48:24.807
19, 5.84, 0.00, 8.18, 14.64, 0.000, 0.000, 0.000, 09:48:24.818
20, -11.83, 0.00, -15.08, -18.98, 0.000, 0.000, 0.000, 09:48:24.818
21, 14.75, 0.00, 20.35, 18.73, 0.000, 0.000, 0.000, 09:48:24.833
22, 32.36, 0.00, 44.76, 48.99, 0.000, 0.000, 0.000, 09:48:24.833
23, 4.88, 0.00, 10.93, 15.59, 0.000, 0.000, 0.000, 09:48:24.834
24, -9.77, 0.00, -11.85, -8.66, 0.000, 0.000, 0.000, 09:48:24.834
25, 16.49, 0.00, 19.72, 23.00, 0.000, 0.000, 0.000, 09:48:24.848
26, 38.13, 0.00, 51.63, 48.14, 0.000, 0.000, 0.000, 09:48:24.848
27, 7.40, 0.00, 12.29, 13.84, 0.000, 0.000, 0.000, 09:48:24.864
28, -9.87, 0.00, -16.17, -11.86, 0.000, 0.000, 0.000, 09:48:24.864
29, 19.09, 0.00, 21.73, 21.40, 0.000, 0.000, 0.000, 09:48:24.864
30, 37.05, 0.00, 42.73, 52.27, 0.000, 0.000, 0.000, 09:48:24.865
31, 5.14, 0.00, 7.84, 13.53, 0.000, 0.000, 0.000, 09:48:24.878
32, -10.80, 0.00, -18.41, -13.33, 0.000, 0.000, 0.000, 09:48:24.879
33, 16.88, 0.00, 17.61, 18.83, 0.000, 0.000, 0.000, 09:48:24.896
34, 35.01, 0.00, 44.29, 47.48, 0.000, 0.000, 0.000, 09:48:24.896
