%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_09-38-04
0, 9.63, 0.00, 13.55, 16.98, 0.000, 0.000, 0.000, 09:38:08.927
1, -1.74, 0.00, -0.81, 3.56, 0.000, 0.000, 0.000, 09:38:08.942
2, 9.59, 0.00, 8.44, 20.12, 0.000, 0.000, 0.000, 09:38:08.943
3, 22.29, 0.00, 28.00, 32.73, 0.000, 0.000, 0.000, 09:38:08.958
4, 9.61, 0.00, 8.89, 14.19, 0.000, 0.000, 0.000, 09:38:08.958
5, -0.55, 0.00, -1.06, 2.43, 0.000, 0.000, 0.000, 09:38:08.959
6, 8.78, 0.00, 10.70, 18.05, 0.000, 0.000, 0.000, 09:38:08.960
7, 24.53, 0.00, 26.79, 32.94, 0.000, 0.000, 0.000, 09:38:08.970
8, 11.54, 0.00, 14.35, 18.74, 0.000, 0.000, 0.000, 09:38:08.971
9, 1.05, 0.00, -2.16, -0.07, 0.000, 0.000, 0.000, 09:38:08.986
10, 11.07, 0.00, 11.52, 16.72, 0.000, 0.000, 0.000, 09:38:08.988
11, 22.81, 0.00, 32.73, 33.15, 0.000, 0.000, 0.000, 09:38:08.991
12, 9.75, 0.00, 11.06, 18.02, 0.000, 0.000, 0.000, 09:38:08.991
13, -4.51, 0.00, -2.52, 2.28, 0.000, 0.000, 0.000, 09:38:09.000
14, 11.47, 0.00, 14.88, 17.57, 0.000, 0.000, 0.000, 09:38:09.002
15, 23.62, 0.00, 29.70, 32.12, 0.000, 0.000, 0.000, 09:38:09.017
16, 11.99, 0.00, 18.79, 17.51, 0.000, 0.000, 0.000, 09:38:09.017
17, -0.03, 0.00, 4.16, 2.03, 0.000, 0.000, 0.000, 09:38:09.019
18, 11.67, 0.00, 13.07, 18.18, 0.000, 0.000, 0.000, 09:38:09.020
19, 19.80, 0.00, 27.43, 30.16, 0.000, 0.000, 0.000, 09:38:09.037
20, 10.77, 0.00, 13.73, 17.69, 0.000, 0.000, 0.000, 09:38:09.037
21, -2.69, 0.00, -2.97, 6.06, 0.000, 0.000, 0.000, 09:38:09.046
22, 13.19, 0.00, 7.38, 17.60, 0.000, 0.000, 0.000, 09:38:09.047
23, 22.04, 0.00, 26.21, 33.22, 0.000, 0.000, 0.000, 09:38:09.048
24, 7.96, 0.00, 15.53, 15.66, 0.000, 0.000, 0.000, 09:38:09.049
25, -0.44, 0.00, -1.40, 2.96, 0.000, 0.000, 0.000, 09:38:09.060
26, 16.51, 0.00, 14.29, 13.68, 0.000, 0.000, 0.000, 09:38:09.061
27, 22.20, 0.00, 30.29, 25.88, 0.000, 0.000, 0.000, 09:38:09.076
28, 10.11, 0.00, 11.85, 15.95, 0.000, 0.000, 0.000, 09:38:09.076
29, -2.89, 0.00, -1.12, 3.22, 0.000, 0.000, 0.000, 09:38:09.078
30, 9.02, 0.00, 18.27, 14.56, 0.000, 0.000, 0.000, 09:38:09.078
31, 23.11, 0.00, 28.97, 33.89, 0.000, 0.000, 0.000, 09:38:09.090
32, 9.47, 0.00, 10.71, 21.35, 0.000, 0.000, 0.000, 09:38:09.091
33, -3.17, 0.00, -5.96, 0.84, 0.000, 0.000, 0.000, 09:38:09.105
34, 10.74, 0.00, 17.13, 16.19, 0.000, 0.000, 0.000, 09:38:09.109
35, 23.68, 0.00, 27.40, 30.89, 0.000, 0.000, 0.000, 09:38:09.109
36, 13.64, 0.00, 14.02, 17.06, 0.000, 0.000, 0.000, 09:38:09.110
37, -1.33, 0.00, -0.98, 6.96, 0.000, 0.000, 0.000, 09:38:09.120
38, 18.08, 0.00, 17.58, 18.21, 0.000, 0.000, 0.000, 09:38:09.120
39, 25.58, 0.00, 27.17, 30.43, 0.000, 0.000, 0.000, 09:38:09.136
40, 10.53, 0.00, 12.82, 16.03, 0.000, 0.000, 0.000, 09:38:09.137
41, 1.00, 0.00, -1.11, 2.36, 0.000, 0.000, 0.000, 09:38:09.137
