%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_10-36-20
0, 17.90, 0.00, 22.50, 25.26, 0.000, 0.000, 0.000, 10:36:24.373
1, 20.16, 0.00, 24.01, 27.21, 0.000, 0.000, 0.000, 10:36:24.388
2, 5.67, 0.00, 10.01, 13.85, 0.000, 0.000, 0.000, 10:36:24.389
3, 1.97, 0.00, 5.76, 9.68, 0.000, 0.000, 0.000, 10:36:24.399
4, 16.53, 0.00, 19.87, 23.48, 0.000, 0.000, 0.000, 10:36:24.400
5, 18.91, 0.00, 28.63, 32.06, 0.000, 0.000, 0.000, 10:36:24.404
6, 3.09, 0.00, 9.21, 15.88, 0.000, 0.000, 0.000, 10:36:24.406
7, 4.19, 0.00, 2.50, 7.83, 0.000, 0.000, 0.000, 10:36:24.413
8, 18.32, 0.00, 23.80, 27.93, 0.000, 0.000, 0.000, 10:36:24.414
9, 19.01, 0.00, 22.99, 28.06, 0.000, 0.000, 0.000, 10:36:24.428
10, 6.47, 0.00, 10.56, 12.62, 0.000, 0.000, 0.000, 10:36:24.430
11, 3.28, 0.00, 6.97, 8.11, 0.000, 0.000, 0.000, 10:36:24.431
12, 18.83, 0.00, 20.23, 23.97, 0.000, 0.000, 0.000, 10:36:24.434
13, 19.49, 0.00, 30.12, 28.14, 0.000, 0.000, 0.000, 10:36:24.448
14, 6.36, 0.00, 6.44, 10.96, 0.000, 0.000, 0.000, 10:36:24.449
15, 7.02, 0.00, 7.09, 8.16, 0.000, 0.000, 0.000, 10:36:24.458
16, 15.64, 0.00, 18.19, 23.77, 0.000, 0.000, 0.000, 10:36:24.460
17, 21.54, 0.00, 25.99, 24.13, 0.000, 0.000, 0.000, 10:36:24.461
18, 7.20, 0.00, 12.17, 9.06, 0.000, 0.000, 0.000, 10:36:24.461
19, 1.86, 0.00, 9.63, 8.30, 0.000, 0.000, 0.000, 10:36:24.481
20, 10.57, 0.00, 18.82, 19.81, 0.000, 0.000, 0.000, 10:36:24.482
21, 25.34, 0.00, 28.14, 29.30, 0.000, 0.000, 0.000, 10:36:24.502
22, 9.29, 0.00, 5.97, 13.85, 0.000, 0.000, 0.000, 10:36:24.503
23, 2.59, 0.00, 5.85, 8.15, 0.000, 0.000, 0.000, 10:36:24.503
24, 17.56, 0.00, 20.35, 23.85, 0.000, 0.000, 0.000, 10:36:24.504
25, 20.65, 0.00, 28.93, 25.25, 0.000, 0.000, 0.000, 10:36:24.504
26, 9.10, 0.00, 8.92, 12.79, 0.000, 0.000, 0.000, 10:36:24.505
27, 5.52, 0.00, 3.73, 9.37, 0.000, 0.000, 0.000, 10:36:24.505
28, 17.68, 0.00, 16.91, 20.79, 0.000, 0.000, 0.000, 10:36:24.506
29, 27.63, 0.00, 26.91, 29.57, 0.000, 0.000, 0.000, 10:36:24.517
30, 11.32, 0.00, 9.88, 13.63, 0.000, 0.000, 0.000, 10:36:24.518
31, 2.64, 0.00, 5.55, 6.57, 0.000, 0.000, 0.000, 10:36:24.532
32, 18.55, 0.00, 22.95, 27.31, 0.000, 0.000, 0.000, 10:36:24.533
33, 23.75, 0.00, 26.55, 30.31, 0.000, 0.000, 0.000, 10:36:24.548
34, 9.53, 0.00, 10.91, 12.59, 0.000, 0.000, 0.000, 10:36:24.549
35, 4.34, 0.00, 4.05, 6.10, 0.000, 0.000, 0.000, 10:36:24.549
36, 18.48, 0.00, 23.72, 24.68, 0.000, 0.000, 0.000, 10:36:24.550
37, 22.34, 0.00, 30.03, 30.60, 0.000, 0.000, 0.000, 10:36:24.562
38, 7.46, 0.00, 11.41, 15.23, 0.000, 0.000, 0.000, 10:36:24.565
39, 1.41, 0.00, 8.73, 11.60, 0.000, 0.000, 0.000, 10:36:24.577
40, 16.28, 0.00, 13.58, 21.14, 0.000, 0.000, 0.000, 10:36:24.577
41, 21.42, 0.00, 31.95, 26.21, 0.000, 0.000, 0.000, 10:36:24.578
42, 7.26, 0.00, 7.91, 11.34, 0.000, 0.000, 0.000, 10:36:24.578
43, -0.80, 0.00, 6.52, 3.81, 0.000, 0.000, 0.000, 10:36:24.593
44, 15.28, 0.00, 19.00, 21.61, 0.000, 0.000, 0.000, 10:36:24.593
45, 22.81, 0.00, 27.25, 28.50, 0.000, 0.000, 0.000, 10:36:24.608
46, 7.93, 0.00, 11.34, 13.58, 0.000, 0.000, 0.000, 10:36:24.609
47, 0.96, 0.00, 2.61, 11.47, 0.000, 0.000, 0.000, 10:36:24.609
48, 18.02, 0.00, 14.27, 24.87, 0.000, 0.000, 0.000, 10:36:24.610
49, 21.03, 0.00, 21.85, 25.78, 0.000, 0.000, 0.000, 10:36:24.622
50, 8.72, 0.00, 14.23, 12.03, 0.000, 0.000, 0.000, 10:36:24.623
51, 2.38, 0.00, 8.29, 6.32, 0.000, 0.000, 0.000, 10:36:24.638
52, 15.25, 0.00, 24.73, 23.66, 0.000, 0.000, 0.000, 10:36:24.639
53, 22.63, 0.00, 29.00, 30.45, 0.000, 0.000, 0.000, 10:36:24.639
54, 9.88, 0.00, -3.15, 11.33, 0.000, 0.000, 0.000, 10:36:24.640
55, 1.55, 0.00, 7.94, 3.71, 0.000, 0.000, 0.000, 10:36:24.653
56, 15.69, 0.00, 25.03, 22.45, 0.000, 0.000, 0.000, 10:36:24.653
57, 22.61, 0.00, 25.98, 34.07, 0.000, 0.000, 0.000, 10:36:24.669
58, 8.19, 0.00, 7.27, 15.55, 0.000, 0.000, 0.000, 10:36:24.670
59, 2.92, 0.00, 0.22, 5.56, 0.000, 0.000, 0.000, 10:36:24.670
60, 19.99, 0.00, 23.49, 21.91, 0.000, 0.000, 0.000, 10:36:24.671
61, 22.88, 0.00, 26.58, 25.66, 0.000, 0.000, 0.000, 10:36:24.682
