%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_13-38-27
64, 0.00, -3966.30, -3695.48, -3353.38, 0.000, 0.000, 0.000, 13:38:34.744
65, 0.00, -3804.88, -3552.09, -3171.57, 0.000, 0.000, 0.000, 13:38:34.745
66, 0.00, -3927.47, -3702.75, -3370.38, 0.000, 0.000, 0.000, 13:38:34.745
67, 0.00, -3967.19, -3787.46, -3483.94, 0.000, 0.000, 0.000, 13:38:34.759
68, 0.00, -3884.71, -3694.17, -3352.00, 0.000, 0.000, 0.000, 13:38:34.760
69, 0.00, -3792.56, -3548.05, -3162.98, 0.000, 0.000, 0.000, 13:38:34.774
70, 0.00, -3937.33, -3700.07, -3370.14, 0.000, 0.000, 0.000, 13:38:34.775
71, 0.00, -4015.24, -3793.24, -3493.74, 0.000, 0.000, 0.000, 13:38:34.777
72, 0.00, -3948.46, -3696.03, -3361.22, 0.000, 0.000, 0.000, 13:38:34.777
73, 0.00, -3864.41, -3556.51, -3178.05, 0.000, 0.000, 0.000, 13:38:34.790
74, 0.00, -4003.33, -3720.02, -3383.46, 0.000, 0.000, 0.000, 13:38:34.790
75, 0.00, -4095.61, -3786.21, -3485.48, 0.000, 0.000, 0.000, 13:38:34.804
76, 0.00, -4035.60, -3700.56, -3365.92, 0.000, 0.000, 0.000, 13:38:34.805
77, 0.00, -3935.21, -3555.75, -3167.98, 0.000, 0.000, 0.000, 13:38:34.811
78, 0.00, -4069.14, -3710.88, -3380.08, 0.000, 0.000, 0.000, 13:38:34.812
79, 0.00, -4155.00, -3782.91, -3474.80, 0.000, 0.000, 0.000, 13:38:34.819
80, 0.00, -4089.39, -3695.87, -3356.52, 0.000, 0.000, 0.000, 13:38:34.819
81, 0.00, -3984.78, -3548.36, -3170.05, 0.000, 0.000, 0.000, 13:38:34.834
82, 0.00, -4146.16, -3720.56, -3399.65, 0.000, 0.000, 0.000, 13:38:34.835
83, 0.00, -4204.54, -3780.21, -3489.90, 0.000, 0.000, 0.000, 13:38:34.836
84, 0.00, -4139.40, -3685.93, -3363.68, 0.000, 0.000, 0.000, 13:38:34.837
85, 0.00, -4033.39, -3558.42, -3171.47, 0.000, 0.000, 0.000, 13:38:34.850
86, 0.00, -4173.42, -3725.98, -3391.90, 0.000, 0.000, 0.000, 13:38:34.850
87, 0.00, -4221.59, -3788.37, -3493.35, 0.000, 0.000, 0.000, 13:38:34.865
88, 0.00, -4141.71, -3688.32, -3361.10, 0.000, 0.000, 0.000, 13:38:34.866
89, 0.00, -4016.43, -3534.38, -3155.37, 0.000, 0.000, 0.000, 13:38:34.867
90, 0.00, -4174.92, -3731.41, -3401.04, 0.000, 0.000, 0.000, 13:38:34.867
91, 0.00, -4237.84, -3786.43, -3491.21, 0.000, 0.000, 0.000, 13:38:34.879
92, 0.00, -4152.76, -3683.35, -3356.60, 0.000, 0.000, 0.000, 13:38:34.879
93, 0.00, -4034.05, -3536.67, -3154.87, 0.000, 0.000, 0.000, 13:38:34.894
94, 0.00, -4181.42, -3715.43, -3390.58, 0.000, 0.000, 0.000, 13:38:34.894
95, 0.00, -4233.14, -3778.64, -3484.43, 0.000, 0.000, 0.000, 13:38:34.895
96, 0.00, -4144.04, -3676.04, -3351.06, 0.000, 0.000, 0.000, 13:38:34.895
97, 0.00, -4029.26, -3535.04, -3149.15, 0.000, 0.000, 0.000, 13:38:34.909
98, 0.00, -4180.26, -3722.22, -3394.29, 0.000, 0.000, 0.000, 13:38:34.909
99, 0.00, -4228.32, -3785.82, -3488.30, 0.000, 0.000, 0.000, 13:38:34.924
100, 0.00, -4140.23, -3687.14, -3348.55, 0.000, 0.000, 0.000, 13:38:34.924
101, 0.00, -4016.37, -3539.74, -3154.28, 0.000, 0.000, 0.000, 13:38:34.924
102, 0.00, -4186.55, -3729.28, -3408.49, 0.000, 0.000, 0.000, 13:38:34.925
103, 0.00, -4234.73, -3787.37, -3496.15, 0.000, 0.000, 0.000, 13:38:34.939
104, 0.00, -4143.36, -3678.20, -3353.52, 0.000, 0.000, 0.000, 13:38:34.939
105, 0.00, -4008.55, -3531.78, -3143.82, 0.000, 0.000, 0.000, 13:38:34.954
106, 0.00, -4166.52, -3725.32, -3401.93, 0.000, 0.000, 0.000, 13:38:34.954
107, 0.00, -4207.50, -3797.71, -3505.03, 0.000, 0.000, 0.000, 13:38:34.954
108, 0.00, -4110.33, -3682.25, -3347.39, 0.000, 0.000, 0.000, 13:38:34.955
109, 0.00, -3971.92, -3513.66, -3125.56, 0.000, 0.000, 0.000, 13:38:34.970
110, 0.00, -4146.10, -3718.68, -3391.57, 0.000, 0.000, 0.000, 13:38:34.971
111, 0.00, -4192.20, -3773.48, -3483.93, 0.000, 0.000, 0.000, 13:38:34.984
112, 0.00, -4095.79, -3669.96, -3338.10, 0.000, 0.000, 0.000, 13:38:34.985
113, 0.00, -3960.25, -3514.14, -3137.78, 0.000, 0.000, 0.000, 13:38:34.986
114, 0.00, -4140.19, -3730.42, -3407.60, 0.000, 0.000, 0.000, 13:38:34.988
115, 0.00, -4204.21, -3799.40, -3510.98, 0.000, 0.000, 0.000, 13:38:35.000
116, 0.00, -4107.28, -3682.78, -3359.99, 0.000, 0.000, 0.000, 13:38:35.001
117, 0.00, -3967.70, -3524.97, -3139.07, 0.000, 0.000, 0.000, 13:38:35.015
118, 0.00, -4153.60, -3735.55, -3411.52, 0.000, 0.000, 0.000, 13:38:35.016
119, 0.00, -4198.53, -3793.54, -3493.59, 0.000, 0.000, 0.000, 13:38:35.018
120, 0.00, -4103.52, -3681.23, -3349.79, 0.000, 0.000, 0.000, 13:38:35.019
121, 0.00, -3961.10, -3526.88, -3144.32, 0.000, 0.000, 0.000, 13:38:35.029
122, 0.00, -4149.76, -3746.24, -3421.30, 0.000, 0.000, 0.000, 13:38:35.030
123, 0.00, -4198.28, -3801.61, -3506.23, 0.000, 0.000, 0.000, 13:38:35.044
124, 0.00, -4106.19, -3680.35, -3350.33, 0.000, 0.000, 0.000, 13:38:35.045
125, 0.00, -3975.55, -3528.13, -3139.56, 0.000, 0.000, 0.000, 13:38:35.047
126, 0.00, -4153.71, -3735.14, -3405.44, 0.000, 0.000, 0.000, 13:38:35.048
127, 0.00, -4185.75, -3780.25, -3484.29, 0.000, 0.000, 0.000, 13:38:35.059
128, 0.00, -4088.18, -3673.43, -3334.02, 0.000, 0.000, 0.000, 13:38:35.060
129, 0.00, -3957.38, -3521.83, -3126.38, 0.000, 0.000, 0.000, 13:38:35.074
130, 0.00, -4126.85, -3727.03, -3390.36, 0.000, 0.000, 0.000, 13:38:35.075
131, 0.00, -4161.00, -3769.64, -3470.51, 0.000, 0.000, 0.000, 13:38:35.075
132, 0.00, -4074.29, -3662.44, -3331.39, 0.000, 0.000, 0.000, 13:38:35.075
133, 0.00, -3951.58, -3524.48, -3134.26, 0.000, 0.000, 0.000, 13:38:35.089
134, 0.00, -4128.34, -3732.31, -3412.48, 0.000, 0.000, 0.000, 13:38:35.089
135, 0.00, -4169.05, -3779.89, -3493.23, 0.000, 0.000, 0.000, 13:38:35.104
136, 0.00, -4073.07, -3668.35, -3339.90, 0.000, 0.000, 0.000, 13:38:35.104
137, 0.00, -3944.19, -3511.42, -3124.30, 0.000, 0.000, 0.000, 13:38:35.105
138, 0.00, -4123.21, -3728.20, -3402.48, 0.000, 0.000, 0.000, 13:38:35.105
139, 0.00, -4153.58, -3771.76, -3481.80, 0.000, 0.000, 0.000, 13:38:35.121
140, 0.00, -4071.38, -3669.54, -3337.42, 0.000, 0.000, 0.000, 13:38:35.121
141, 0.00, -3945.62, -3518.45, -3132.83, 0.000, 0.000, 0.000, 13:38:35.134
142, 0.00, -4125.60, -3731.40, -3408.12, 0.000, 0.000, 0.000, 13:38:35.135
143, 0.00, -4162.33, -3775.69, -3489.48, 0.000, 0.000, 0.000, 13:38:35.137
144, 0.00, -4070.37, -3675.33, -3341.32, 0.000, 0.000, 0.000, 13:38:35.138
145, 0.00, -3949.71, -3528.48, -3139.55, 0.000, 0.000, 0.000, 13:38:35.150
146, 0.00, -4127.69, -3746.26, -3422.74, 0.000, 0.000, 0.000, 13:38:35.151
147, 0.00, -4163.90, -3790.60, -3493.50, 0.000, 0.000, 0.000, 13:38:35.164
148, 0.00, -4069.43, -3688.20, -3352.69, 0.000, 0.000, 0.000, 13:38:35.165
149, 0.00, -3946.82, -3529.41, -3140.54, 0.000, 0.000, 0.000, 13:38:35.166
150, 0.00, -4131.74, -3746.83, -3420.10, 0.000, 0.000, 0.000, 13:38:35.167
151, 0.00, -4164.11, -3785.15, -3489.46, 0.000, 0.000, 0.000, 13:38:35.179
