No.	Fokus		Waktu
261,	LEFT		1:24:12;21589
262,	LEFT		1:24:12;21604
263,	LEFT		1:24:12;21621
264,	LEFT		1:24:12;21637
265,	LEFT		1:24:12;21654
266,	LEFT		1:24:12;21672
267,	LEFT		1:24:12;21688
268,	LEFT		1:24:12;21705
269,	LEFT		1:24:12;21721
270,	LEFT		1:24:12;21737
271,	LEFT		1:24:12;21754
272,	LEFT		1:24:12;21770
273,	LEFT		1:24:12;21788
274,	LEFT		1:24:12;21804
275,	LEFT		1:24:12;21822
276,	LEFT		1:24:12;21837
277,	LEFT		1:24:12;21854
278,	LEFT		1:24:12;21871
279,	LEFT		1:24:12;21886
280,	LEFT		1:24:12;21905
281,	LEFT		1:24:12;21920
282,	LEFT		1:24:12;21937
283,	LEFT		1:24:12;21955
284,	LEFT		1:24:12;21970
285,	LEFT		1:24:12;21989
286,	LEFT		1:24:13;22004
287,	LEFT		1:24:13;22021
288,	LEFT		1:24:13;22036
289,	LEFT		1:24:13;22053
290,	LEFT		1:24:13;22071
291,	LEFT		1:24:13;22086
292,	LEFT		1:24:13;22105
293,	LEFT		1:24:13;22120
294,	LEFT		1:24:13;22137
295,	LEFT		1:24:13;22154
296,	LEFT		1:24:13;22170
297,	LEFT		1:24:13;22188
298,	LEFT		1:24:13;22203
