%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_11-09-00
0, 16.53, 0.00, 15.28, 22.52, 0.000, 0.000, 0.000, 11:09:04.932
1, 8.20, 0.00, 9.48, 11.04, 0.000, 0.000, 0.000, 11:09:04.949
2, 9.85, 0.00, 10.41, 9.26, 0.000, 0.000, 0.000, 11:09:04.952
3, 18.03, 0.00, 27.96, 24.56, 0.000, 0.000, 0.000, 11:09:04.960
4, 16.20, 0.00, 19.17, 18.44, 0.000, 0.000, 0.000, 11:09:04.960
5, 8.18, 0.00, 6.26, 13.21, 0.000, 0.000, 0.000, 11:09:04.962
6, 7.65, 0.00, 9.59, 14.96, 0.000, 0.000, 0.000, 11:09:04.963
7, 18.83, 0.00, 25.61, 27.14, 0.000, 0.000, 0.000, 11:09:04.974
8, 14.38, 0.00, 19.58, 20.76, 0.000, 0.000, 0.000, 11:09:04.975
9, 4.05, 0.00, 6.02, 18.39, 0.000, 0.000, 0.000, 11:09:04.989
10, 9.23, 0.00, 3.47, 11.74, 0.000, 0.000, 0.000, 11:09:04.990
11, 13.35, 0.00, 23.00, 20.85, 0.000, 0.000, 0.000, 11:09:04.991
12, 20.09, 0.00, 21.73, 22.90, 0.000, 0.000, 0.000, 11:09:04.991
13, 10.49, 0.00, 10.07, 13.05, 0.000, 0.000, 0.000, 11:09:05.014
14, 8.58, 0.00, 10.34, 14.23, 0.000, 0.000, 0.000, 11:09:05.016
15, 15.81, 0.00, 16.98, 22.47, 0.000, 0.000, 0.000, 11:09:05.021
16, 18.28, 0.00, 14.31, 22.61, 0.000, 0.000, 0.000, 11:09:05.022
17, 8.95, 0.00, 4.49, 9.85, 0.000, 0.000, 0.000, 11:09:05.023
18, 11.49, 0.00, 19.20, 11.84, 0.000, 0.000, 0.000, 11:09:05.023
19, 18.94, 0.00, 24.16, 23.67, 0.000, 0.000, 0.000, 11:09:05.035
20, 16.29, 0.00, 22.84, 25.60, 0.000, 0.000, 0.000, 11:09:05.036
21, 7.54, 0.00, 14.39, 15.07, 0.000, 0.000, 0.000, 11:09:05.049
22, 9.51, 0.00, 10.94, 14.56, 0.000, 0.000, 0.000, 11:09:05.049
23, 15.91, 0.00, 17.98, 21.02, 0.000, 0.000, 0.000, 11:09:05.050
24, 14.90, 0.00, 21.05, 23.28, 0.000, 0.000, 0.000, 11:09:05.050
25, 5.81, 0.00, 13.06, 10.75, 0.000, 0.000, 0.000, 11:09:05.065
26, 8.24, 0.00, 13.53, 11.83, 0.000, 0.000, 0.000, 11:09:05.066
27, 17.75, 0.00, 24.96, 23.01, 0.000, 0.000, 0.000, 11:09:05.080
