%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_09-45-28
0, 27.54, 0.00, 32.28, 32.02, 0.000, 0.000, 0.000, 09:45:31.254
1, 2.50, 0.00, 5.77, 6.15, 0.000, 0.000, 0.000, 09:45:31.270
2, -1.80, 0.00, -0.80, -1.15, 0.000, 0.000, 0.000, 09:45:31.273
3, 26.69, 0.00, 28.06, 33.30, 0.000, 0.000, 0.000, 09:45:31.279
4, 23.41, 0.00, 34.48, 35.83, 0.000, 0.000, 0.000, 09:45:31.281
5, -2.28, 0.00, 0.76, 4.30, 0.000, 0.000, 0.000, 09:45:31.281
6, -3.15, 0.00, -4.52, 0.05, 0.000, 0.000, 0.000, 09:45:31.283
7, 25.57, 0.00, 29.63, 29.64, 0.000, 0.000, 0.000, 09:45:31.295
8, 25.44, 0.00, 32.76, 34.49, 0.000, 0.000, 0.000, 09:45:31.296
9, 0.20, 0.00, 1.30, 5.30, 0.000, 0.000, 0.000, 09:45:31.309
10, -7.67, 0.00, -5.70, -0.45, 0.000, 0.000, 0.000, 09:45:31.310
11, 27.19, 0.00, 31.70, 32.34, 0.000, 0.000, 0.000, 09:45:31.311
12, 31.07, 0.00, 31.93, 35.02, 0.000, 0.000, 0.000, 09:45:31.311
13, 0.28, 0.00, 4.61, 3.78, 0.000, 0.000, 0.000, 09:45:31.324
14, -4.51, 0.00, -3.26, -2.03, 0.000, 0.000, 0.000, 09:45:31.324
15, 23.62, 0.00, 29.35, 27.49, 0.000, 0.000, 0.000, 09:45:31.339
16, 26.99, 0.00, 31.33, 34.83, 0.000, 0.000, 0.000, 09:45:31.340
17, -1.73, 0.00, 2.50, 6.90, 0.000, 0.000, 0.000, 09:45:31.340
18, -4.04, 0.00, -2.39, -1.70, 0.000, 0.000, 0.000, 09:45:31.341
19, 22.91, 0.00, 29.89, 31.27, 0.000, 0.000, 0.000, 09:45:31.354
20, 24.14, 0.00, 29.20, 36.88, 0.000, 0.000, 0.000, 09:45:31.354
21, -2.68, 0.00, -4.32, 3.60, 0.000, 0.000, 0.000, 09:45:31.377
22, -5.15, 0.00, -5.50, -3.15, 0.000, 0.000, 0.000, 09:45:31.377
23, 26.14, 0.00, 23.20, 29.93, 0.000, 0.000, 0.000, 09:45:31.378
24, 30.96, 0.00, 28.67, 37.13, 0.000, 0.000, 0.000, 09:45:31.378
25, 1.78, 0.00, 0.95, 5.94, 0.000, 0.000, 0.000, 09:45:31.384
26, -1.60, 0.00, -0.72, 3.73, 0.000, 0.000, 0.000, 09:45:31.384
27, 24.57, 0.00, 34.98, 32.08, 0.000, 0.000, 0.000, 09:45:31.400
28, 30.06, 0.00, 38.73, 35.13, 0.000, 0.000, 0.000, 09:45:31.400
29, 1.14, 0.00, 1.57, 5.57, 0.000, 0.000, 0.000, 09:45:31.401
30, -7.00, 0.00, -6.13, 0.33, 0.000, 0.000, 0.000, 09:45:31.401
31, 25.95, 0.00, 31.61, 31.87, 0.000, 0.000, 0.000, 09:45:31.413
32, 28.50, 0.00, 35.56, 38.33, 0.000, 0.000, 0.000, 09:45:31.414
33, -0.79, 0.00, -0.36, 3.62, 0.000, 0.000, 0.000, 09:45:31.429
34, -1.50, 0.00, -4.61, -1.55, 0.000, 0.000, 0.000, 09:45:31.429
35, 23.47, 0.00, 28.22, 32.81, 0.000, 0.000, 0.000, 09:45:31.430
36, 32.38, 0.00, 32.05, 39.01, 0.000, 0.000, 0.000, 09:45:31.430
37, 1.52, 0.00, -4.76, 6.42, 0.000, 0.000, 0.000, 09:45:31.444
38, -7.17, 0.00, -8.77, -4.95, 0.000, 0.000, 0.000, 09:45:31.444
39, 24.77, 0.00, 26.23, 34.87, 0.000, 0.000, 0.000, 09:45:31.459
40, 32.97, 0.00, 35.53, 36.88, 0.000, 0.000, 0.000, 09:45:31.459
41, 0.24, 0.00, 2.59, 3.69, 0.000, 0.000, 0.000, 09:45:31.460
42, -9.16, 0.00, -10.78, -4.86, 0.000, 0.000, 0.000, 09:45:31.460
43, 22.30, 0.00, 30.15, 31.23, 0.000, 0.000, 0.000, 09:45:31.474
44, 27.71, 0.00, 37.50, 36.84, 0.000, 0.000, 0.000, 09:45:31.475
45, -2.35, 0.00, 3.45, 4.29, 0.000, 0.000, 0.000, 09:45:31.492
46, -9.54, 0.00, -5.18, -2.70, 0.000, 0.000, 0.000, 09:45:31.493
47, 22.65, 0.00, 26.98, 29.40, 0.000, 0.000, 0.000, 09:45:31.497
48, 28.10, 0.00, 34.22, 37.83, 0.000, 0.000, 0.000, 09:45:31.497
49, 2.79, 0.00, -6.18, 6.08, 0.000, 0.000, 0.000, 09:45:31.505
50, -2.88, 0.00, -5.14, 0.88, 0.000, 0.000, 0.000, 09:45:31.507
51, 23.49, 0.00, 32.17, 29.28, 0.000, 0.000, 0.000, 09:45:31.520
52, 27.05, 0.00, 42.10, 33.10, 0.000, 0.000, 0.000, 09:45:31.521
53, 0.61, 0.00, -3.79, 5.91, 0.000, 0.000, 0.000, 09:45:31.521
54, -3.58, 0.00, -3.82, -3.10, 0.000, 0.000, 0.000, 09:45:31.522
55, 23.47, 0.00, 29.65, 26.63, 0.000, 0.000, 0.000, 09:45:31.533
56, 29.91, 0.00, 26.79, 37.16, 0.000, 0.000, 0.000, 09:45:31.534
57, 1.10, 0.00, 7.84, 4.85, 0.000, 0.000, 0.000, 09:45:31.549
58, -2.83, 0.00, -6.84, -1.36, 0.000, 0.000, 0.000, 09:45:31.549
59, 22.95, 0.00, 33.13, 29.88, 0.000, 0.000, 0.000, 09:45:31.550
60, 30.66, 0.00, 31.78, 31.65, 0.000, 0.000, 0.000, 09:45:31.550
61, 0.00, 0.00, 0.19, 9.00, 0.000, 0.000, 0.000, 09:45:31.564
62, -8.87, 0.00, 3.57, -3.01, 0.000, 0.000, 0.000, 09:45:31.564
63, 22.48, 0.00, 29.74, 27.29, 0.000, 0.000, 0.000, 09:45:31.578
64, 28.67, 0.00, 35.42, 40.42, 0.000, 0.000, 0.000, 09:45:31.579
65, -2.40, 0.00, -3.95, 2.82, 0.000, 0.000, 0.000, 09:45:31.579
66, -7.85, 0.00, -3.24, -1.09, 0.000, 0.000, 0.000, 09:45:31.580
67, 25.44, 0.00, 20.92, 28.22, 0.000, 0.000, 0.000, 09:45:31.593
68, 31.12, 0.00, 36.68, 40.98, 0.000, 0.000, 0.000, 09:45:31.594
69, 4.93, 0.00, -0.38, 1.72, 0.000, 0.000, 0.000, 09:45:31.609
70, -4.94, 0.00, -7.32, -2.16, 0.000, 0.000, 0.000, 09:45:31.609
71, 24.77, 0.00, 31.55, 30.11, 0.000, 0.000, 0.000, 09:45:31.610
72, 30.84, 0.00, 32.48, 37.60, 0.000, 0.000, 0.000, 09:45:31.610
73, -2.41, 0.00, -4.07, 3.70, 0.000, 0.000, 0.000, 09:45:31.626
74, -7.00, 0.00, -10.70, -9.01, 0.000, 0.000, 0.000, 09:45:31.626
75, 23.09, 0.00, 28.04, 30.45, 0.000, 0.000, 0.000, 09:45:31.641
76, 26.30, 0.00, 37.34, 36.92, 0.000, 0.000, 0.000, 09:45:31.642
77, 0.36, 0.00, -3.06, 5.51, 0.000, 0.000, 0.000, 09:45:31.642
78, -3.67, 0.00, -3.78, -4.45, 0.000, 0.000, 0.000, 09:45:31.642
79, 22.85, 0.00, 31.55, 27.15, 0.000, 0.000, 0.000, 09:45:31.654
80, 27.58, 0.00, 30.72, 36.63, 0.000, 0.000, 0.000, 09:45:31.655
81, -0.53, 0.00, 3.02, 7.10, 0.000, 0.000, 0.000, 09:45:31.670
82, -3.54, 0.00, -4.20, -6.06, 0.000, 0.000, 0.000, 09:45:31.670
83, 24.56, 0.00, 26.56, 29.41, 0.000, 0.000, 0.000, 09:45:31.671
84, 28.68, 0.00, 34.25, 39.63, 0.000, 0.000, 0.000, 09:45:31.671
85, 2.94, 0.00, 4.59, 3.55, 0.000, 0.000, 0.000, 09:45:31.683
86, -6.01, 0.00, -0.18, 0.57, 0.000, 0.000, 0.000, 09:45:31.685
87, 22.06, 0.00, 28.65, 30.49, 0.000, 0.000, 0.000, 09:45:31.698
88, 29.78, 0.00, 39.44, 41.25, 0.000, 0.000, 0.000, 09:45:31.699
89, -3.61, 0.00, -2.53, 4.36, 0.000, 0.000, 0.000, 09:45:31.699
90, -6.24, 0.00, -9.73, -2.17, 0.000, 0.000, 0.000, 09:45:31.699
91, 19.12, 0.00, 24.10, 26.46, 0.000, 0.000, 0.000, 09:45:31.713
92, 25.75, 0.00, 36.30, 32.00, 0.000, 0.000, 0.000, 09:45:31.714
93, -1.66, 0.00, 0.83, 4.64, 0.000, 0.000, 0.000, 09:45:31.728
94, -4.30, 0.00, -3.65, 0.28, 0.000, 0.000, 0.000, 09:45:31.729
95, 22.46, 0.00, 26.80, 29.12, 0.000, 0.000, 0.000, 09:45:31.729
96, 29.22, 0.00, 33.46, 43.62, 0.000, 0.000, 0.000, 09:45:31.729
97, 2.31, 0.00, -1.32, 2.95, 0.000, 0.000, 0.000, 09:45:31.743
98, -6.38, 0.00, 0.45, -1.48, 0.000, 0.000, 0.000, 09:45:31.744
99, 23.60, 0.00, 23.97, 28.40, 0.000, 0.000, 0.000, 09:45:31.760
100, 32.24, 0.00, 37.01, 43.04, 0.000, 0.000, 0.000, 09:45:31.760
101, 7.00, 0.00, 1.80, 7.38, 0.000, 0.000, 0.000, 09:45:31.760
102, -4.42, 0.00, -0.99, -2.15, 0.000, 0.000, 0.000, 09:45:31.760
103, 23.83, 0.00, 23.49, 26.57, 0.000, 0.000, 0.000, 09:45:31.776
104, 28.16, 0.00, 37.12, 39.39, 0.000, 0.000, 0.000, 09:45:31.776
105, 1.41, 0.00, 3.61, 7.95, 0.000, 0.000, 0.000, 09:45:31.789
106, -3.72, 0.00, -1.53, -0.70, 0.000, 0.000, 0.000, 09:45:31.791
107, 22.10, 0.00, 18.29, 27.94, 0.000, 0.000, 0.000, 09:45:31.792
108, 25.94, 0.00, 38.41, 38.29, 0.000, 0.000, 0.000, 09:45:31.793
109, 1.09, 0.00, 4.73, 6.85, 0.000, 0.000, 0.000, 09:45:31.803
110, -6.10, 0.00, -15.05, -3.30, 0.000, 0.000, 0.000, 09:45:31.804
111, 19.21, 0.00, 32.57, 28.23, 0.000, 0.000, 0.000, 09:45:31.819
112, 27.77, 0.00, 39.28, 33.49, 0.000, 0.000, 0.000, 09:45:31.820
113, 0.47, 0.00, 13.23, 11.87, 0.000, 0.000, 0.000, 09:45:31.820
114, -6.38, 0.00, -6.60, -1.83, 0.000, 0.000, 0.000, 09:45:31.821
115, 23.32, 0.00, 28.66, 32.27, 0.000, 0.000, 0.000, 09:45:31.834
116, 31.52, 0.00, 32.01, 36.81, 0.000, 0.000, 0.000, 09:45:31.834
117, 0.56, 0.00, -0.20, 4.22, 0.000, 0.000, 0.000, 09:45:31.853
118, -5.31, 0.00, -17.58, -2.78, 0.000, 0.000, 0.000, 09:45:31.854
119, 24.06, 0.00, 26.99, 26.12, 0.000, 0.000, 0.000, 09:45:31.854
120, 28.29, 0.00, 33.79, 36.33, 0.000, 0.000, 0.000, 09:45:31.855
121, 1.13, 0.00, 2.86, 3.93, 0.000, 0.000, 0.000, 09:45:32.156
122, -9.04, 0.00, -4.86, -1.10, 0.000, 0.000, 0.000, 09:45:32.157
123, 24.50, 0.00, 26.56, 27.43, 0.000, 0.000, 0.000, 09:45:32.158
124, 31.39, 0.00, 22.58, 37.79, 0.000, 0.000, 0.000, 09:45:32.159
125, 4.59, 0.00, -5.00, 9.06, 0.000, 0.000, 0.000, 09:45:32.160
126, -2.82, 0.00, -0.69, -3.98, 0.000, 0.000, 0.000, 09:45:32.161
127, 22.47, 0.00, 35.10, 25.53, 0.000, 0.000, 0.000, 09:45:32.161
128, 28.94, 0.00, 35.64, 41.20, 0.000, 0.000, 0.000, 09:45:32.162
129, -0.47, 0.00, 15.47, 7.25, 0.000, 0.000, 0.000, 09:45:32.162
130, -6.14, 0.00, 1.31, -4.81, 0.000, 0.000, 0.000, 09:45:32.162
131, 25.78, 0.00, 26.46, 29.14, 0.000, 0.000, 0.000, 09:45:32.162
132, 27.11, 0.00, 39.13, 36.24, 0.000, 0.000, 0.000, 09:45:32.162
133, 1.35, 0.00, 0.54, 7.52, 0.000, 0.000, 0.000, 09:45:32.163
134, -6.88, 0.00, -6.28, -1.56, 0.000, 0.000, 0.000, 09:45:32.163
135, 24.97, 0.00, 35.31, 26.92, 0.000, 0.000, 0.000, 09:45:32.163
136, 32.16, 0.00, 38.56, 36.54, 0.000, 0.000, 0.000, 09:45:32.163
137, 3.51, 0.00, 0.93, 6.52, 0.000, 0.000, 0.000, 09:45:32.163
138, -6.64, 0.00, -5.51, -4.38, 0.000, 0.000, 0.000, 09:45:32.163
139, 22.27, 0.00, 18.73, 28.58, 0.000, 0.000, 0.000, 09:45:32.163
140, 26.13, 0.00, 38.65, 37.86, 0.000, 0.000, 0.000, 09:45:32.164
141, -1.19, 0.00, -4.47, 7.27, 0.000, 0.000, 0.000, 09:45:32.164
142, -6.63, 0.00, -7.84, -4.92, 0.000, 0.000, 0.000, 09:45:32.164
143, 22.86, 0.00, 19.77, 24.29, 0.000, 0.000, 0.000, 09:45:32.165
144, 28.73, 0.00, 26.26, 35.00, 0.000, 0.000, 0.000, 09:45:32.165
145, 2.15, 0.00, 3.02, 9.64, 0.000, 0.000, 0.000, 09:45:32.165
146, -4.51, 0.00, -3.78, -4.40, 0.000, 0.000, 0.000, 09:45:32.165
147, 22.61, 0.00, 20.00, 23.59, 0.000, 0.000, 0.000, 09:45:32.166
148, 31.27, 0.00, 29.26, 38.34, 0.000, 0.000, 0.000, 09:45:32.166
149, 5.82, 0.00, 0.57, 9.55, 0.000, 0.000, 0.000, 09:45:32.166
150, -6.36, 0.00, -6.15, -1.39, 0.000, 0.000, 0.000, 09:45:32.168
151, 18.82, 0.00, 41.00, 27.09, 0.000, 0.000, 0.000, 09:45:32.170
152, 29.59, 0.00, 40.53, 39.36, 0.000, 0.000, 0.000, 09:45:32.170
153, 1.79, 0.00, 3.20, 6.35, 0.000, 0.000, 0.000, 09:45:32.171
