%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_13-39-20
64, 0.00, -4181.10, -3736.10, -3425.55, 0.000, 0.000, 0.000, 13:39:34.174
65, 0.00, -4174.43, -3746.27, -3470.11, 0.000, 0.000, 0.000, 13:39:34.175
66, 0.00, -4116.65, -3675.60, -3345.91, 0.000, 0.000, 0.000, 13:39:34.175
67, 0.00, -4053.46, -3588.27, -3194.16, 0.000, 0.000, 0.000, 13:39:34.189
68, 0.00, -4167.70, -3729.88, -3422.01, 0.000, 0.000, 0.000, 13:39:34.189
69, 0.00, -4162.96, -3746.87, -3475.82, 0.000, 0.000, 0.000, 13:39:34.204
70, 0.00, -4118.36, -3678.88, -3353.06, 0.000, 0.000, 0.000, 13:39:34.204
71, 0.00, -4055.49, -3578.64, -3189.18, 0.000, 0.000, 0.000, 13:39:34.205
72, 0.00, -4164.86, -3720.00, -3404.85, 0.000, 0.000, 0.000, 13:39:34.205
73, 0.00, -4154.15, -3740.90, -3460.31, 0.000, 0.000, 0.000, 13:39:34.219
74, 0.00, -4109.96, -3670.02, -3352.69, 0.000, 0.000, 0.000, 13:39:34.219
75, 0.00, -4068.98, -3591.33, -3204.88, 0.000, 0.000, 0.000, 13:39:34.234
76, 0.00, -4171.04, -3730.91, -3420.04, 0.000, 0.000, 0.000, 13:39:34.234
77, 0.00, -4156.47, -3745.09, -3466.62, 0.000, 0.000, 0.000, 13:39:34.241
78, 0.00, -4104.58, -3673.19, -3346.42, 0.000, 0.000, 0.000, 13:39:34.241
79, 0.00, -4059.15, -3589.04, -3189.83, 0.000, 0.000, 0.000, 13:39:34.249
80, 0.00, -4165.74, -3725.93, -3413.72, 0.000, 0.000, 0.000, 13:39:34.250
81, 0.00, -4157.94, -3747.61, -3473.58, 0.000, 0.000, 0.000, 13:39:34.265
82, 0.00, -4111.42, -3670.03, -3352.12, 0.000, 0.000, 0.000, 13:39:34.265
83, 0.00, -4059.75, -3588.53, -3199.89, 0.000, 0.000, 0.000, 13:39:34.265
84, 0.00, -4165.75, -3730.93, -3423.08, 0.000, 0.000, 0.000, 13:39:34.266
85, 0.00, -4143.35, -3742.06, -3463.53, 0.000, 0.000, 0.000, 13:39:34.279
86, 0.00, -4103.52, -3673.23, -3349.64, 0.000, 0.000, 0.000, 13:39:34.280
87, 0.00, -4059.19, -3593.64, -3199.92, 0.000, 0.000, 0.000, 13:39:34.296
88, 0.00, -4166.17, -3734.80, -3424.18, 0.000, 0.000, 0.000, 13:39:34.296
89, 0.00, -4148.94, -3746.70, -3472.23, 0.000, 0.000, 0.000, 13:39:34.296
90, 0.00, -4096.75, -3674.31, -3342.60, 0.000, 0.000, 0.000, 13:39:34.298
91, 0.00, -4053.01, -3591.65, -3189.97, 0.000, 0.000, 0.000, 13:39:34.324
92, 0.00, -4157.18, -3734.43, -3420.45, 0.000, 0.000, 0.000, 13:39:34.324
93, 0.00, -4144.05, -3752.10, -3476.01, 0.000, 0.000, 0.000, 13:39:34.324
94, 0.00, -4106.82, -3689.26, -3360.16, 0.000, 0.000, 0.000, 13:39:34.325
95, 0.00, -4061.94, -3607.04, -3211.96, 0.000, 0.000, 0.000, 13:39:34.325
96, 0.00, -4168.48, -3747.05, -3438.44, 0.000, 0.000, 0.000, 13:39:34.325
97, 0.00, -4167.45, -3750.50, -3474.80, 0.000, 0.000, 0.000, 13:39:34.339
98, 0.00, -4114.90, -3667.70, -3345.24, 0.000, 0.000, 0.000, 13:39:34.339
99, 0.00, -4044.93, -3600.28, -3195.65, 0.000, 0.000, 0.000, 13:39:34.354
100, 0.00, -4162.38, -3737.99, -3422.03, 0.000, 0.000, 0.000, 13:39:34.354
101, 0.00, -4168.66, -3750.99, -3475.69, 0.000, 0.000, 0.000, 13:39:34.355
102, 0.00, -4110.77, -3679.85, -3351.72, 0.000, 0.000, 0.000, 13:39:34.355
103, 0.00, -4059.49, -3592.31, -3195.60, 0.000, 0.000, 0.000, 13:39:34.369
104, 0.00, -4162.35, -3737.87, -3431.55, 0.000, 0.000, 0.000, 13:39:34.369
105, 0.00, -4159.16, -3751.37, -3474.03, 0.000, 0.000, 0.000, 13:39:34.384
106, 0.00, -4118.48, -3681.74, -3359.68, 0.000, 0.000, 0.000, 13:39:34.384
107, 0.00, -4076.11, -3601.88, -3209.69, 0.000, 0.000, 0.000, 13:39:34.384
108, 0.00, -4183.36, -3752.56, -3441.84, 0.000, 0.000, 0.000, 13:39:34.385
109, 0.00, -4164.77, -3759.14, -3485.96, 0.000, 0.000, 0.000, 13:39:34.399
110, 0.00, -4110.87, -3684.13, -3362.16, 0.000, 0.000, 0.000, 13:39:34.400
111, 0.00, -4063.85, -3596.23, -3201.89, 0.000, 0.000, 0.000, 13:39:34.415
112, 0.00, -4179.27, -3739.76, -3432.87, 0.000, 0.000, 0.000, 13:39:34.416
113, 0.00, -4170.08, -3749.12, -3469.88, 0.000, 0.000, 0.000, 13:39:34.417
114, 0.00, -4110.70, -3673.75, -3350.41, 0.000, 0.000, 0.000, 13:39:34.418
115, 0.00, -4062.08, -3590.54, -3197.05, 0.000, 0.000, 0.000, 13:39:34.430
116, 0.00, -4161.53, -3739.06, -3433.41, 0.000, 0.000, 0.000, 13:39:34.431
117, 0.00, -4142.41, -3749.23, -3466.62, 0.000, 0.000, 0.000, 13:39:34.445
118, 0.00, -4106.58, -3683.22, -3351.91, 0.000, 0.000, 0.000, 13:39:34.446
119, 0.00, -4056.77, -3594.26, -3200.36, 0.000, 0.000, 0.000, 13:39:34.449
120, 0.00, -4156.47, -3735.90, -3429.63, 0.000, 0.000, 0.000, 13:39:34.449
121, 0.00, -4153.30, -3751.04, -3477.66, 0.000, 0.000, 0.000, 13:39:34.459
122, 0.00, -4108.68, -3685.25, -3365.92, 0.000, 0.000, 0.000, 13:39:34.460
123, 0.00, -4064.04, -3600.26, -3205.34, 0.000, 0.000, 0.000, 13:39:34.474
124, 0.00, -4157.30, -3738.54, -3433.59, 0.000, 0.000, 0.000, 13:39:34.474
125, 0.00, -4154.80, -3748.71, -3473.13, 0.000, 0.000, 0.000, 13:39:34.475
126, 0.00, -4111.98, -3677.18, -3348.96, 0.000, 0.000, 0.000, 13:39:34.475
127, 0.00, -4065.70, -3603.58, -3201.50, 0.000, 0.000, 0.000, 13:39:34.497
128, 0.00, -4173.81, -3744.42, -3443.94, 0.000, 0.000, 0.000, 13:39:34.498
129, 0.00, -4157.40, -3754.85, -3474.59, 0.000, 0.000, 0.000, 13:39:34.504
130, 0.00, -4098.16, -3674.39, -3347.08, 0.000, 0.000, 0.000, 13:39:34.504
131, 0.00, -4061.29, -3595.45, -3196.17, 0.000, 0.000, 0.000, 13:39:34.504
