No.	Fokus		Waktu
0, N, 18:36:21.581
1, N, 18:36:21.598
2, N, 18:36:21.622
3, N, 18:36:21.637
4, N, 18:36:21.654
5, N, 18:36:21.672
6, N, 18:36:21.687
7, N, 18:36:21.703
8, N, 18:36:21.722
9, N, 18:36:21.736
10, N, 18:36:21.753
11, N, 18:36:21.770
12, N, 18:36:21.787
13, N, 18:36:21.803
14, N, 18:36:21.819
15, N, 18:36:21.836
16, N, 18:36:21.853
17, N, 18:36:21.869
18, N, 18:36:21.884
19, N, 18:36:21.901
20, N, 18:36:21.918
21, N, 18:36:21.936
22, N, 18:36:21.954
23, N, 18:36:21.970
24, N, 18:36:21.986
25, N, 18:36:22.003
26, N, 18:36:22.019
27, N, 18:36:22.036
28, N, 18:36:22.053
29, N, 18:36:22.069
30, N, 18:36:22.085
31, N, 18:36:22.100
32, N, 18:36:22.117
33, N, 18:36:22.134
34, N, 18:36:22.151
35, N, 18:36:22.167
36, N, 18:36:22.184
37, N, 18:36:22.199
38, N, 18:36:22.217
39, N, 18:36:22.233
40, N, 18:36:22.250
41, N, 18:36:22.266
42, N, 18:36:22.284
43, N, 18:36:22.300
44, N, 18:36:22.316
45, N, 18:36:22.331
46, N, 18:36:22.347
47, N, 18:36:22.365
48, N, 18:36:22.379
49, N, 18:36:22.399
50, N, 18:36:22.415
51, N, 18:36:22.436
52, N, 18:36:22.451
53, N, 18:36:22.469
54, N, 18:36:22.485
55, N, 18:36:22.501
56, N, 18:36:22.517
57, N, 18:36:22.534
58, N, 18:36:22.549
59, N, 18:36:22.567
60, N, 18:36:22.582
61, N, 18:36:22.601
62, N, 18:36:22.617
63, N, 18:36:22.633
64, N, 18:36:22.649
65, N, 18:36:22.667
66, N, 18:36:22.682
67, N, 18:36:22.701
68, N, 18:36:22.717
69, N, 18:36:22.732
70, N, 18:36:22.749
71, N, 18:36:22.766
72, N, 18:36:22.786
73, N, 18:36:22.801
74, N, 18:36:22.820
75, N, 18:36:22.836
76, N, 18:36:22.849
77, N, 18:36:22.866
78, N, 18:36:22.882
79, N, 18:36:22.898
80, N, 18:36:22.916
81, N, 18:36:22.932
82, N, 18:36:22.949
83, N, 18:36:22.966
84, N, 18:36:22.982
85, N, 18:36:22.999
86, N, 18:36:23.015
87, N, 18:36:23.031
88, N, 18:36:23.048
89, N, 18:36:23.065
90, N, 18:36:23.080
91, N, 18:36:23.098
92, N, 18:36:23.114
93, N, 18:36:23.132
94, N, 18:36:23.148
