No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-29_18-00-50
0, -4196.98, -4053.17, 300.28, 266.96, 0.000, 0.000, 0.000, 18:00:52.871
1, -4153.30, -4000.91, 352.67, 272.90, 0.000, 0.000, 0.000, 18:00:52.885
2, -4178.56, -4017.45, 369.35, 319.19, 0.000, 0.000, 0.000, 18:00:52.886
3, -4195.25, -4034.45, 420.82, 355.99, 0.000, 0.000, 0.000, 18:00:52.900
4, -4199.43, -4033.40, 305.65, 264.41, 0.000, 0.000, 0.000, 18:00:52.900
5, -4153.54, -3990.23, 341.88, 288.00, 0.000, 0.000, 0.000, 18:00:52.902
6, -4161.19, -4002.22, 368.81, 330.39, 0.000, 0.000, 0.000, 18:00:52.902
7, -4197.07, -4029.28, 418.46, 351.05, 0.000, 0.000, 0.000, 18:00:52.916
8, -4202.35, -4043.91, 306.01, 262.75, 0.000, 0.000, 0.000, 18:00:52.916
9, -4147.33, -3995.27, 357.55, 280.70, 0.000, 0.000, 0.000, 18:00:52.930
10, -4156.86, -4012.99, 379.54, 318.76, 0.000, 0.000, 0.000, 18:00:52.932
11, -4184.99, -4038.73, 425.52, 361.97, 0.000, 0.000, 0.000, 18:00:52.932
12, -4193.15, -4045.20, 310.48, 269.26, 0.000, 0.000, 0.000, 18:00:52.933
13, -4154.26, -4003.11, 345.31, 274.61, 0.000, 0.000, 0.000, 18:00:52.943
14, -4164.94, -4011.09, 363.10, 319.68, 0.000, 0.000, 0.000, 18:00:52.943
15, -4180.21, -4028.89, 427.42, 361.24, 0.000, 0.000, 0.000, 18:00:52.958
16, -4193.08, -4024.34, 315.29, 272.19, 0.000, 0.000, 0.000, 18:00:52.958
17, -4158.54, -3996.63, 352.91, 273.88, 0.000, 0.000, 0.000, 18:00:52.959
18, -4166.27, -4013.41, 370.48, 328.62, 0.000, 0.000, 0.000, 18:00:52.959
19, -4175.99, -4024.60, 420.35, 368.63, 0.000, 0.000, 0.000, 18:00:52.974
20, -4182.59, -4028.39, 321.32, 277.21, 0.000, 0.000, 0.000, 18:00:52.974
21, -4163.48, -3999.00, 358.13, 280.88, 0.000, 0.000, 0.000, 18:00:52.988
22, -4162.06, -4011.70, 386.07, 327.78, 0.000, 0.000, 0.000, 18:00:52.988
23, -4171.85, -4017.46, 436.13, 372.70, 0.000, 0.000, 0.000, 18:00:52.989
24, -4194.02, -4043.76, 323.74, 265.72, 0.000, 0.000, 0.000, 18:00:52.989
25, -4150.68, -3997.35, 360.37, 283.37, 0.000, 0.000, 0.000, 18:00:53.006
26, -4149.03, -4001.52, 376.20, 333.55, 0.000, 0.000, 0.000, 18:00:53.006
27, -4166.02, -4019.29, 425.78, 366.19, 0.000, 0.000, 0.000, 18:00:53.020
28, -4195.78, -4045.54, 317.32, 271.17, 0.000, 0.000, 0.000, 18:00:53.021
29, -4166.51, -4006.91, 338.27, 276.98, 0.000, 0.000, 0.000, 18:00:53.021
30, -4160.61, -3996.68, 372.65, 336.32, 0.000, 0.000, 0.000, 18:00:53.021
31, -4167.33, -4011.35, 421.62, 381.37, 0.000, 0.000, 0.000, 18:00:53.035
32, -4190.69, -4033.45, 323.98, 283.25, 0.000, 0.000, 0.000, 18:00:53.035
33, -4162.57, -4001.30, 353.16, 280.90, 0.000, 0.000, 0.000, 18:00:53.051
34, -4150.83, -3999.62, 371.56, 333.11, 0.000, 0.000, 0.000, 18:00:53.052
35, -4165.87, -4014.86, 427.64, 386.46, 0.000, 0.000, 0.000, 18:00:53.056
36, -4191.35, -4049.31, 324.73, 266.30, 0.000, 0.000, 0.000, 18:00:53.056
37, -4155.32, -3999.91, 346.16, 282.12, 0.000, 0.000, 0.000, 18:00:53.065
38, -4148.96, -3995.97, 372.39, 342.84, 0.000, 0.000, 0.000, 18:00:53.066
39, -4157.76, -4007.54, 423.16, 387.13, 0.000, 0.000, 0.000, 18:00:53.080
40, -4189.35, -4037.41, 325.81, 280.67, 0.000, 0.000, 0.000, 18:00:53.081
41, -4172.46, -4027.14, 336.13, 279.89, 0.000, 0.000, 0.000, 18:00:53.082
42, -4160.38, -4002.55, 366.12, 335.35, 0.000, 0.000, 0.000, 18:00:53.083
43, -4168.97, -4010.22, 424.54, 375.81, 0.000, 0.000, 0.000, 18:00:53.093
44, -4200.29, -4035.31, 327.54, 271.16, 0.000, 0.000, 0.000, 18:00:53.093
45, -4162.31, -3999.59, 353.47, 279.45, 0.000, 0.000, 0.000, 18:00:53.109
46, -4153.74, -3999.63, 368.93, 329.94, 0.000, 0.000, 0.000, 18:00:53.109
47, -4153.62, -4006.41, 425.27, 377.97, 0.000, 0.000, 0.000, 18:00:53.110
48, -4187.83, -4039.81, 332.92, 276.55, 0.000, 0.000, 0.000, 18:00:53.110
49, -4160.91, -4006.17, 346.46, 276.42, 0.000, 0.000, 0.000, 18:00:53.123
50, -4145.26, -4010.26, 373.51, 338.18, 0.000, 0.000, 0.000, 18:00:53.123
51, -4148.35, -4014.15, 438.40, 391.82, 0.000, 0.000, 0.000, 18:00:53.141
52, -4187.44, -4036.43, 333.89, 288.49, 0.000, 0.000, 0.000, 18:00:53.141
53, -4161.27, -4005.43, 347.22, 288.40, 0.000, 0.000, 0.000, 18:00:53.142
54, -4149.44, -3996.02, 376.57, 349.23, 0.000, 0.000, 0.000, 18:00:53.142
55, -4156.22, -4010.04, 429.36, 395.39, 0.000, 0.000, 0.000, 18:00:53.155
56, -4186.64, -4033.63, 323.72, 283.90, 0.000, 0.000, 0.000, 18:00:53.155
57, -4166.96, -4003.82, 351.97, 286.79, 0.000, 0.000, 0.000, 18:00:53.171
58, -4156.57, -4006.26, 370.75, 342.74, 0.000, 0.000, 0.000, 18:00:53.171
59, -4160.22, -4004.53, 428.66, 393.03, 0.000, 0.000, 0.000, 18:00:53.173
60, -4202.66, -4043.53, 319.14, 270.86, 0.000, 0.000, 0.000, 18:00:53.173
61, -4166.67, -4011.86, 350.54, 278.76, 0.000, 0.000, 0.000, 18:00:53.186
62, -4154.14, -4001.40, 372.92, 332.21, 0.000, 0.000, 0.000, 18:00:53.186
63, -4162.86, -4015.20, 422.78, 368.68, 0.000, 0.000, 0.000, 18:00:53.201
64, -4180.68, -4030.44, 321.89, 266.68, 0.000, 0.000, 0.000, 18:00:53.201
65, -4157.47, -4013.25, 353.14, 278.41, 0.000, 0.000, 0.000, 18:00:53.201
66, -4154.71, -4020.76, 371.66, 331.25, 0.000, 0.000, 0.000, 18:00:53.201
67, -4156.96, -4012.43, 423.40, 381.58, 0.000, 0.000, 0.000, 18:00:53.217
68, -4182.85, -4032.91, 311.34, 284.86, 0.000, 0.000, 0.000, 18:00:53.217
