No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-10-06_18-54-49
0, -4771.64, -5138.73, 881.21, 922.65, 0.000, 0.000, 0.000, 18:54:51.853
1, -4751.69, -5120.90, 891.47, 936.83, 0.000, 0.000, 0.000, 18:54:52.164
2, -4747.91, -5119.73, 893.62, 934.70, 0.000, 0.000, 0.000, 18:54:52.167
3, -4736.75, -5119.52, 878.20, 928.88, 0.000, 0.000, 0.000, 18:54:52.239
4, -4745.94, -5139.70, 867.78, 921.36, 0.000, 0.000, 0.000, 18:54:52.239
5, -4748.77, -5133.50, 874.72, 929.85, 0.000, 0.000, 0.000, 18:54:52.412
6, -4755.72, -5135.67, 868.00, 926.60, 0.000, 0.000, 0.000, 18:54:52.413
7, -4738.57, -5125.82, 881.50, 938.24, 0.000, 0.000, 0.000, 18:54:52.416
8, -4740.79, -5122.81, 882.39, 942.89, 0.000, 0.000, 0.000, 18:54:52.418
9, -4735.27, -5114.73, 884.79, 946.40, 0.000, 0.000, 0.000, 18:54:52.696
10, -4730.69, -5113.79, 883.85, 950.34, 0.000, 0.000, 0.000, 18:54:52.696
11, -4734.31, -5117.91, 891.15, 942.15, 0.000, 0.000, 0.000, 18:54:52.697
12, -4719.52, -5114.38, 904.14, 956.01, 0.000, 0.000, 0.000, 18:54:52.697
79, -4728.67, -5122.93, 896.75, 952.11, 0.000, 0.000, 0.000, 18:54:52.698
80, -4739.90, -5128.06, 900.38, 943.57, 0.000, 0.000, 0.000, 18:54:52.698
141, -4750.61, -5138.02, 889.68, 941.21, 0.000, 0.000, 0.000, 18:54:52.699
142, -4749.40, -5133.96, 892.49, 941.35, 0.000, 0.000, 0.000, 18:54:52.699
157, -4770.63, -5145.02, 875.96, 935.07, 0.000, 0.000, 0.000, 18:54:52.700
158, -4768.90, -5143.38, 882.35, 944.51, 0.000, 0.000, 0.000, 18:54:52.700
191, -4754.80, -5157.28, 960.91, 957.75, 0.000, 0.000, 0.000, 18:54:52.701
192, -4741.11, -5134.69, 1049.06, 991.05, 0.000, 0.000, 0.000, 18:54:52.701
