No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-10_15-48-15
63, -3647.93, -4224.23, -2551.56, -2188.90, 0.000, 0.000, 0.000, 15:48:20.417
64, -3262.90, -3834.26, -2145.91, -1861.75, 0.000, 0.000, 0.000, 15:48:20.418
65, -3113.09, -3671.87, -1988.78, -1723.20, 0.000, 0.000, 0.000, 15:48:20.418
66, -3576.03, -4133.95, -2478.83, -2119.36, 0.000, 0.000, 0.000, 15:48:20.419
67, -3614.83, -4188.45, -2535.26, -2176.45, 0.000, 0.000, 0.000, 15:48:20.431
68, -3230.64, -3798.31, -2135.25, -1850.40, 0.000, 0.000, 0.000, 15:48:20.431
69, -3090.10, -3655.19, -1976.20, -1701.21, 0.000, 0.000, 0.000, 15:48:20.445
70, -3567.70, -4132.23, -2464.35, -2109.65, 0.000, 0.000, 0.000, 15:48:20.446
71, -3611.86, -4184.61, -2522.51, -2157.76, 0.000, 0.000, 0.000, 15:48:20.446
72, -3238.65, -3812.26, -2137.63, -1839.33, 0.000, 0.000, 0.000, 15:48:20.447
73, -3102.01, -3658.48, -1969.56, -1695.74, 0.000, 0.000, 0.000, 15:48:20.465
74, -3575.62, -4140.23, -2458.28, -2097.68, 0.000, 0.000, 0.000, 15:48:20.467
75, -3623.19, -4194.91, -2510.96, -2152.15, 0.000, 0.000, 0.000, 15:48:20.477
76, -3253.26, -3826.44, -2116.68, -1837.82, 0.000, 0.000, 0.000, 15:48:20.478
77, -3121.80, -3685.31, -1964.13, -1700.88, 0.000, 0.000, 0.000, 15:48:20.478
78, -3600.81, -4169.35, -2445.31, -2099.80, 0.000, 0.000, 0.000, 15:48:20.479
79, -3643.44, -4217.54, -2508.88, -2157.72, 0.000, 0.000, 0.000, 15:48:20.493
80, -3273.10, -3845.34, -2134.47, -1848.81, 0.000, 0.000, 0.000, 15:48:20.493
81, -3132.41, -3699.96, -1971.30, -1712.79, 0.000, 0.000, 0.000, 15:48:20.507
82, -3600.78, -4163.62, -2453.28, -2103.20, 0.000, 0.000, 0.000, 15:48:20.508
83, -3641.48, -4216.07, -2520.98, -2163.12, 0.000, 0.000, 0.000, 15:48:20.508
84, -3276.70, -3847.88, -2149.84, -1849.88, 0.000, 0.000, 0.000, 15:48:20.508
85, -3144.29, -3711.58, -1985.85, -1715.37, 0.000, 0.000, 0.000, 15:48:20.522
86, -3632.36, -4191.59, -2479.82, -2125.49, 0.000, 0.000, 0.000, 15:48:20.523
87, -3642.77, -4216.38, -2514.88, -2158.83, 0.000, 0.000, 0.000, 15:48:20.535
88, -3270.53, -3848.49, -2131.62, -1840.31, 0.000, 0.000, 0.000, 15:48:20.536
89, -3143.48, -3705.98, -1984.69, -1713.87, 0.000, 0.000, 0.000, 15:48:20.538
90, -3614.33, -4177.69, -2468.79, -2107.00, 0.000, 0.000, 0.000, 15:48:20.538
91, -3653.78, -4225.58, -2504.78, -2151.50, 0.000, 0.000, 0.000, 15:48:20.550
92, -3281.00, -3845.20, -2127.29, -1838.76, 0.000, 0.000, 0.000, 15:48:20.550
93, -3142.89, -3704.58, -1977.39, -1719.34, 0.000, 0.000, 0.000, 15:48:20.565
94, -3628.24, -4191.60, -2483.95, -2129.67, 0.000, 0.000, 0.000, 15:48:20.566
95, -3645.40, -4207.83, -2503.90, -2148.68, 0.000, 0.000, 0.000, 15:48:20.567
96, -3289.00, -3847.21, -2138.28, -1838.96, 0.000, 0.000, 0.000, 15:48:20.567
97, -3168.91, -3728.56, -2001.73, -1734.90, 0.000, 0.000, 0.000, 15:48:20.580
98, -3642.25, -4197.13, -2484.04, -2126.02, 0.000, 0.000, 0.000, 15:48:20.580
99, -3675.34, -4243.05, -2539.03, -2179.33, 0.000, 0.000, 0.000, 15:48:20.596
100, -3292.39, -3863.24, -2149.59, -1860.58, 0.000, 0.000, 0.000, 15:48:20.596
101, -3178.55, -3738.60, -2019.39, -1739.50, 0.000, 0.000, 0.000, 15:48:20.597
102, -3647.36, -4200.65, -2495.74, -2142.13, 0.000, 0.000, 0.000, 15:48:20.597
103, -3662.69, -4228.20, -2521.35, -2173.42, 0.000, 0.000, 0.000, 15:48:20.610
104, -3291.70, -3857.60, -2147.85, -1860.34, 0.000, 0.000, 0.000, 15:48:20.613
105, -3156.88, -3721.09, -2001.73, -1733.79, 0.000, 0.000, 0.000, 15:48:20.627
106, -3627.14, -4185.63, -2473.30, -2127.29, 0.000, 0.000, 0.000, 15:48:20.628
107, -3640.60, -4215.30, -2516.19, -2156.67, 0.000, 0.000, 0.000, 15:48:20.630
108, -3287.38, -3854.53, -2142.34, -1853.08, 0.000, 0.000, 0.000, 15:48:20.631
109, -3158.85, -3721.36, -1991.91, -1726.80, 0.000, 0.000, 0.000, 15:48:20.641
110, -3627.09, -4180.46, -2473.55, -2123.07, 0.000, 0.000, 0.000, 15:48:20.642
