No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-29_17-59-31
65, -4112.90, -3963.66, 412.80, 383.71, 0.000, 0.000, 0.000, 17:59:44.223
66, -4143.20, -3996.92, 428.05, 382.31, 0.000, 0.000, 0.000, 17:59:44.224
67, -4175.58, -4022.17, 303.21, 254.16, 0.000, 0.000, 0.000, 17:59:44.229
68, -4130.79, -3968.93, 374.06, 308.64, 0.000, 0.000, 0.000, 17:59:44.230
69, -4110.62, -3959.89, 411.59, 378.87, 0.000, 0.000, 0.000, 17:59:44.247
70, -4134.00, -3982.85, 415.17, 360.37, 0.000, 0.000, 0.000, 17:59:44.247
71, -4165.96, -4012.74, 298.07, 248.93, 0.000, 0.000, 0.000, 17:59:44.249
72, -4142.36, -3991.51, 370.41, 300.62, 0.000, 0.000, 0.000, 17:59:44.249
73, -4115.80, -3974.39, 409.67, 367.28, 0.000, 0.000, 0.000, 17:59:44.259
74, -4131.31, -3993.14, 411.25, 348.73, 0.000, 0.000, 0.000, 17:59:44.262
75, -4172.94, -4018.93, 288.90, 233.53, 0.000, 0.000, 0.000, 17:59:44.277
76, -4160.75, -4006.70, 370.53, 297.75, 0.000, 0.000, 0.000, 17:59:44.278
77, -4129.82, -3982.72, 404.19, 368.01, 0.000, 0.000, 0.000, 17:59:44.279
78, -4146.86, -3996.30, 416.34, 353.07, 0.000, 0.000, 0.000, 17:59:44.279
79, -4169.96, -4019.23, 290.53, 255.23, 0.000, 0.000, 0.000, 17:59:44.293
80, -4146.25, -3988.83, 377.66, 317.29, 0.000, 0.000, 0.000, 17:59:44.293
81, -4119.92, -3968.89, 408.88, 384.32, 0.000, 0.000, 0.000, 17:59:44.305
82, -4144.52, -3991.18, 408.87, 362.82, 0.000, 0.000, 0.000, 17:59:44.307
83, -4164.14, -4004.44, 290.12, 250.28, 0.000, 0.000, 0.000, 17:59:44.309
84, -4156.94, -4000.47, 363.65, 307.12, 0.000, 0.000, 0.000, 17:59:44.310
85, -4137.64, -3986.27, 407.08, 378.69, 0.000, 0.000, 0.000, 17:59:44.322
86, -4152.28, -3992.67, 413.37, 359.80, 0.000, 0.000, 0.000, 17:59:44.323
87, -4173.60, -4013.29, 288.49, 252.77, 0.000, 0.000, 0.000, 17:59:44.339
88, -4158.96, -4002.56, 362.32, 300.18, 0.000, 0.000, 0.000, 17:59:44.340
89, -4117.27, -3973.52, 407.56, 373.51, 0.000, 0.000, 0.000, 17:59:44.342
90, -4150.94, -3994.53, 405.48, 345.81, 0.000, 0.000, 0.000, 17:59:44.343
91, -4177.31, -4020.94, 274.88, 235.27, 0.000, 0.000, 0.000, 17:59:44.349
92, -4150.41, -3997.03, 363.88, 302.64, 0.000, 0.000, 0.000, 17:59:44.350
93, -4131.11, -3979.00, 402.74, 369.90, 0.000, 0.000, 0.000, 17:59:44.364
94, -4146.52, -3995.93, 416.29, 356.24, 0.000, 0.000, 0.000, 17:59:44.364
95, -4164.63, -4017.86, 288.56, 245.37, 0.000, 0.000, 0.000, 17:59:44.365
96, -4148.77, -3994.72, 378.61, 308.89, 0.000, 0.000, 0.000, 17:59:44.365
97, -4124.15, -3977.32, 413.68, 381.28, 0.000, 0.000, 0.000, 17:59:44.379
98, -4143.97, -3995.42, 412.04, 367.89, 0.000, 0.000, 0.000, 17:59:44.380
99, -4164.39, -4011.64, 303.00, 255.39, 0.000, 0.000, 0.000, 17:59:44.395
100, -4151.15, -3996.40, 376.19, 308.01, 0.000, 0.000, 0.000, 17:59:44.395
101, -4130.65, -3973.66, 411.09, 378.95, 0.000, 0.000, 0.000, 17:59:44.395
102, -4148.99, -3995.36, 409.97, 357.75, 0.000, 0.000, 0.000, 17:59:44.396
103, -4167.94, -4012.86, 297.46, 248.07, 0.000, 0.000, 0.000, 17:59:44.409
104, -4150.79, -3998.46, 370.66, 303.95, 0.000, 0.000, 0.000, 17:59:44.409
105, -4118.46, -3967.09, 412.26, 382.50, 0.000, 0.000, 0.000, 17:59:44.425
106, -4148.13, -4001.15, 404.64, 355.69, 0.000, 0.000, 0.000, 17:59:44.426
107, -4171.42, -4013.34, 287.56, 252.15, 0.000, 0.000, 0.000, 17:59:44.428
