No.	Fokus		Waktu
178,	RIGHT		1:14:5;37069
179,	RIGHT		1:14:5;37085
180,	RIGHT		1:14:5;37103
181,	RIGHT		1:14:5;37119
182,	RIGHT		1:14:5;37137
183,	RIGHT		1:14:5;37153
184,	RIGHT		1:14:5;37170
185,	RIGHT		1:14:5;37185
186,	RIGHT		1:14:5;37204
187,	RIGHT		1:14:5;37220
188,	RIGHT		1:14:5;37236
189,	RIGHT		1:14:5;37254
190,	RIGHT		1:14:5;37270
191,	RIGHT		1:14:5;37286
192,	RIGHT		1:14:5;37304
193,	RIGHT		1:14:5;37320
194,	RIGHT		1:14:5;37337
195,	RIGHT		1:14:5;37353
196,	RIGHT		1:14:5;37371
197,	RIGHT		1:14:5;37386
198,	RIGHT		1:14:5;37403
199,	RIGHT		1:14:5;37423
200,	RIGHT		1:14:5;37438
201,	RIGHT		1:14:5;37455
202,	RIGHT		1:14:5;37471
203,	RIGHT		1:14:5;37488
204,	RIGHT		1:14:5;37503
205,	RIGHT		1:14:5;37519
206,	RIGHT		1:14:5;37538
207,	RIGHT		1:14:5;37553
208,	RIGHT		1:14:5;37571
209,	RIGHT		1:14:5;37587
210,	RIGHT		1:14:5;37603
211,	RIGHT		1:14:5;37622
212,	RIGHT		1:14:5;37637
213,	RIGHT		1:14:5;37654
214,	RIGHT		1:14:5;37670
215,	RIGHT		1:14:6;37688
216,	RIGHT		1:14:6;37702
217,	RIGHT		1:14:6;37719
218,	RIGHT		1:14:6;37738
219,	RIGHT		1:14:6;37753
220,	RIGHT		1:14:6;37772
221,	RIGHT		1:14:6;37786
222,	RIGHT		1:14:6;37803
223,	RIGHT		1:14:6;37821
224,	RIGHT		1:14:6;37836
225,	RIGHT		1:14:6;37855
226,	RIGHT		1:14:6;37870
227,	RIGHT		1:14:6;37888
228,	RIGHT		1:14:6;37904
229,	RIGHT		1:14:6;37920
230,	RIGHT		1:14:6;37938
231,	RIGHT		1:14:6;37954
232,	RIGHT		1:14:6;37972
233,	RIGHT		1:14:6;37987
234,	RIGHT		1:14:6;38004
235,	RIGHT		1:14:6;38021
236,	RIGHT		1:14:6;38036
237,	RIGHT		1:14:6;38054
238,	RIGHT		1:14:6;38070
239,	RIGHT		1:14:6;38088
240,	RIGHT		1:14:6;38103
241,	RIGHT		1:14:6;38119
242,	RIGHT		1:14:6;38137
243,	RIGHT		1:14:6;38154
244,	RIGHT		1:14:6;38172
245,	RIGHT		1:14:6;38186
246,	RIGHT		1:14:6;38203
247,	RIGHT		1:14:6;38221
248,	RIGHT		1:14:6;38236
249,	RIGHT		1:14:6;38254
250,	RIGHT		1:14:6;38269
251,	RIGHT		1:14:6;38288
252,	RIGHT		1:14:6;38303
253,	RIGHT		1:14:6;38320
254,	RIGHT		1:14:6;38338
255,	RIGHT		1:14:6;38353
256,	RIGHT		1:14:6;38370
257,	RIGHT		1:14:6;38386
258,	RIGHT		1:14:6;38402
259,	RIGHT		1:14:6;38420
260,	RIGHT		1:14:6;38435
261,	RIGHT		1:14:6;38454
262,	RIGHT		1:14:6;38469
263,	RIGHT		1:14:6;38485
264,	RIGHT		1:14:6;38504
265,	RIGHT		1:14:6;38519
266,	RIGHT		1:14:6;38537
267,	RIGHT		1:14:6;38553
268,	RIGHT		1:14:6;38571
269,	RIGHT		1:14:6;38596
270,	RIGHT		1:14:6;38609
271,	RIGHT		1:14:6;38625
272,	RIGHT		1:14:6;38642
273,	RIGHT		1:14:6;38660
274,	RIGHT		1:14:6;38675
275,	RIGHT		1:14:7;38692
276,	RIGHT		1:14:7;38708
277,	RIGHT		1:14:7;38725
278,	LEFT		1:14:7;38743
279,	LEFT		1:14:7;38758
280,	LEFT		1:14:7;38777
281,	LEFT		1:14:7;38792
282,	LEFT		1:14:7;38810
283,	LEFT		1:14:7;38826
284,	LEFT		1:14:7;38842
285,	LEFT		1:14:7;38861
286,	LEFT		1:14:7;38876
287,	LEFT		1:14:7;38894
288,	LEFT		1:14:7;38910
289,	LEFT		1:14:7;38928
290,	LEFT		1:14:7;38943
291,	LEFT		1:14:7;38960
292,	LEFT		1:14:7;38978
293,	LEFT		1:14:7;38994
294,	LEFT		1:14:7;39012
295,	LEFT		1:14:7;39027
296,	LEFT		1:14:7;39043
297,	LEFT		1:14:7;39061
298,	LEFT		1:14:7;39076
299,	LEFT		1:14:7;39093
300,	LEFT		1:14:7;39108
301,	LEFT		1:14:7;39125
302,	LEFT		1:14:7;39142
303,	LEFT		1:14:7;39157
304,	LEFT		1:14:7;39174
305,	LEFT		1:14:7;39190
306,	LEFT		1:14:7;39207
307,	LEFT		1:14:7;39222
308,	LEFT		1:14:7;39238
309,	LEFT		1:14:7;39258
310,	LEFT		1:14:7;39272
311,	LEFT		1:14:7;39289
312,	LEFT		1:14:7;39304
313,	LEFT		1:14:7;39321
314,	LEFT		1:14:7;39338
315,	LEFT		1:14:7;39354
316,	LEFT		1:14:7;39374
317,	LEFT		1:14:7;39388
318,	LEFT		1:14:7;39403
319,	LEFT		1:14:7;39423
320,	LEFT		1:14:7;39438
321,	LEFT		1:14:7;39456
322,	LEFT		1:14:7;39470
323,	LEFT		1:14:7;39489
324,	LEFT		1:14:7;39504
325,	LEFT		1:14:7;39520
326,	LEFT		1:14:7;39540
327,	LEFT		1:14:7;39553
328,	LEFT		1:14:7;39571
329,	LEFT		1:14:7;39586
330,	LEFT		1:14:7;39603
331,	LEFT		1:14:7;39620
332,	LEFT		1:14:7;39637
333,	LEFT		1:14:7;39655
334,	LEFT		1:14:7;39669
335,	LEFT		1:14:8;39685
336,	LEFT		1:14:8;39704
337,	LEFT		1:14:8;39719
338,	LEFT		1:14:8;39737
339,	LEFT		1:14:8;39753
340,	LEFT		1:14:8;39771
341,	LEFT		1:14:8;39786
342,	LEFT		1:14:8;39803
343,	LEFT		1:14:8;39820
344,	LEFT		1:14:8;39836
345,	LEFT		1:14:8;39854
346,	LEFT		1:14:8;39869
347,	LEFT		1:14:8;39887
348,	LEFT		1:14:8;39903
349,	LEFT		1:14:8;39919
350,	LEFT		1:14:8;39937
351,	LEFT		1:14:8;39953
352,	LEFT		1:14:8;39970
353,	LEFT		1:14:8;39986
354,	LEFT		1:14:8;40002
355,	LEFT		1:14:8;40020
356,	LEFT		1:14:8;40036
357,	LEFT		1:14:8;40054
358,	LEFT		1:14:8;40070
359,	LEFT		1:14:8;40085
360,	LEFT		1:14:8;40103
361,	LEFT		1:14:8;40119
362,	LEFT		1:14:8;40137
363,	LEFT		1:14:8;40153
364,	LEFT		1:14:8;40170
365,	LEFT		1:14:8;40186
366,	LEFT		1:14:8;40203
367,	LEFT		1:14:8;40220
368,	LEFT		1:14:8;40236
369,	LEFT		1:14:8;40253
370,	LEFT		1:14:8;40269
371,	LEFT		1:14:8;40287
372,	LEFT		1:14:8;40303
373,	LEFT		1:14:8;40319
374,	LEFT		1:14:8;40337
375,	LEFT		1:14:8;40352
376,	LEFT		1:14:8;40370
377,	LEFT		1:14:8;40386
378,	LEFT		1:14:8;40402
379,	LEFT		1:14:8;40420
380,	LEFT		1:14:8;40436
381,	LEFT		1:14:8;40453
382,	LEFT		1:14:8;40469
383,	LEFT		1:14:8;40487
384,	LEFT		1:14:8;40502
385,	LEFT		1:14:8;40518
386,	LEFT		1:14:8;40537
387,	RIGHT		1:14:8;40553
388,	RIGHT		1:14:8;40571
389,	RIGHT		1:14:8;40586
390,	RIGHT		1:14:8;40602
391,	RIGHT		1:14:8;40620
392,	RIGHT		1:14:8;40636
393,	RIGHT		1:14:8;40654
394,	RIGHT		1:14:8;40669
395,	RIGHT		1:14:9;40685
396,	RIGHT		1:14:9;40704
397,	RIGHT		1:14:9;40720
398,	RIGHT		1:14:9;40738
399,	RIGHT		1:14:9;40753
400,	RIGHT		1:14:9;40770
401,	RIGHT		1:14:9;40786
402,	RIGHT		1:14:9;40802
403,	RIGHT		1:14:9;40821
404,	RIGHT		1:14:9;40836
405,	RIGHT		1:14:9;40854
406,	RIGHT		1:14:9;40870
407,	RIGHT		1:14:9;40885
408,	RIGHT		1:14:9;40904
